ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	AACommissionRules	ui-label	ruleNum	ruleNum	ID	ruleNum
UiSchema	AACommissionRules	ui-label	startDate	startDate	Дата начала действия	startDate
UiSchema	AACommissionRules	ui-label	endDate	endDate	Дата окончания действия	endDate
UiSchema	AACommissionRules	ui-label	insuranceProduct	insuranceProduct	Продукт	insuranceProduct
UiSchema	AACommissionRules	ui-label	amount	amount	Фикс. сумма, руб. вкл НДС	amount
UiSchema	AACommissionRules	ui-label	rate	rate	КВ по умолчанию, % вкл НДС	rate
UiSchema	AACommissionRules	ui-label	alwaysUseMaxRate	alwaysUseMaxRate	Всегда использовать max КВ	alwaysUseMaxRate
UiSchema	AACommissionRules	ui-label	isManualCorrectionDisabled	isManualCorrectionDisabled	Запрещено ручное редактирование КВ	isManualCorrectionDisabled
UiSchema	AACommissionRules	ui-label	isDiscountDisabled	isDiscountDisabled	Запрещено применять скидку/надбавку за счёт КВ	isDiscountDisabled
UiSchema	AACommissionRules	ui-label	ruleStartDate	ruleStartDate	Дата начала действия	ruleStartDate
UiSchema	AACommissionRules	ui-label	ruleEndDate	ruleEndDate	Дата окончания действия	ruleEndDate
UiSchema	AACommissionRules	ui-label	isInverted	isInverted	Инвертировано	isInverted
UiSchema	AACommissionRules	ui-label	insuranceTermFrom	insuranceTermFrom	Срок страхования (лет) с	insuranceTermFrom
UiSchema	AACommissionRules	ui-label	insuranceTermTo	insuranceTermTo	Срок страхования (лет) по	insuranceTermTo
UiSchema	AACommissionRules	ui-label	premiumPeriodFrom	premiumPeriodFrom	Период оплаты премии (лет) с	premiumPeriodFrom
UiSchema	AACommissionRules	ui-label	premiumPeriodTo	premiumPeriodTo	Период оплаты премии (лет) по	premiumPeriodTo
UiSchema	AACommissionRules	ui-label	premiumPeriodType	premiumPeriodType	Периодичность оплаты	premiumPeriodType
Rule	AACommissionRulesCommissionRulesValidation	rule	validation@documentShouldHaveAtleastOneCommRule	commissionRulesValidation	E: Необходимо добавить хотя бы одно условие вознаграждения	E: validation@documentShouldHaveAtleastOneCommRule
ClientAction	AACommissionRulesSetDefaultGridLineValues	ui-message	PleaseSaveDocumentFirst	setDefaultGridLineValues	Пожалуйста, сохраните документ!	PleaseSaveDocumentFirst
UiSchema	AACommissionRules	ui-label	products	products	Продукты	products
Rule	AACommissionRulesCommissionRulesValidation	rule	validation@Inconsistency	commissionRulesValidation	E: Правила с ID '${r1}' и '${r2}' не консистентны - противоречат друг другу	E: Rules with ID '${r1}' и '${r2}' are inconsistent
UiSchema	AACommissionRules	ui-label	copyRow	copyRow	Копировать строку	copyRow
UiSchema	AACommissionRules	ui-label	creditProgram	creditProgram	Страховая программа	creditProgram
UiSchema	AACommissionRules	ui-label	expensesRate	expensesRate	Расходы, %	expensesRate
UiSchema	AACommissionRules	ui-label	natuaralPersonRate	natuaralPersonRate	КВ ФЛ, %	natuaralPersonRate
UiSchema	AACommissionRules	ui-label	solePropriatorRate	solePropriatorRate	КВ ИП, %	solePropriatorRate
UiSchema	AACommissionRules	ui-label	copyCommRules	copyCommRules	Копировать выбранное	copyCommRules
UiSchema	AACommissionRules	ui-label	deleteCommRules	deleteCommRules	Удалить выбранное	deleteCommRules
UiSchema	AACommissionRules	ui-label	Export	Export	Экспортировать условия	Export
UiSchema	AACommissionRules	ui-label	insuranceCurrency	insuranceCurrency	Валюта	insuranceCurrency
UiSchema	AACommissionRules	ui-label	insuranceYearFrom	insuranceYearFrom	Год страхования с	insuranceYearFrom
UiSchema	AACommissionRules	ui-label	insuranceYearTo	insuranceYearTo	Год страхования по	insuranceYearTo
UiSchema	AACommissionRules	ui-label	variant	variant	Вариант	variant
UiSchema	AACommissionRules	ui-label	manualRule	manualRule	Ручная схема КВ	manualRule
UiSchema	AACommissionRules	ui-label	setCommRulesDate	setCommRulesDate	Установить даты условий	setCommRulesDate
UiSchema	AACommissionRules	ui-label	File	File	Источник импорта	File
UiSchema	AACommissionRules	ui-label	fillCommRulesFromFile	fillCommRulesFromFile	Импортировать условия	fillCommRulesFromFile
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	PleaseSaveDocumentFirst	fillCommRulesFromFile	Пожалуйста, сохраните документ!	PleaseSaveDocumentFirst
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	startDate	fillCommRulesFromFile	Дата начала действия	startDate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	endDate	fillCommRulesFromFile	Дата окончания действия	endDate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	insuranceYear	fillCommRulesFromFile	Год страхования	insuranceYear
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	insuranceTermFrom	fillCommRulesFromFile	Срок страхования (лет) с	insuranceTermFrom
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	insuranceTermTo	fillCommRulesFromFile	Срок страхования (лет) по	insuranceTermTo
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	premiumPeriodFrom	fillCommRulesFromFile	Период оплаты премии (лет) с	premiumPeriodFrom
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	premiumPeriodTo	fillCommRulesFromFile	Период оплаты премии (лет) по	premiumPeriodTo
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	rate	fillCommRulesFromFile	КВ по умолчанию, % вкл НДС	rate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	expensesRate	fillCommRulesFromFile	Расходы, %	expensesRate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	natuaralPersonRate	fillCommRulesFromFile	КВ ФЛ, %	natuaralPersonRate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	solePropriatorRate	fillCommRulesFromFile	КВ ИП, %	solePropriatorRate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	amount	fillCommRulesFromFile	Фикс. сумма, руб. вкл НДС	amount
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	isManualCorrectionDisabled	fillCommRulesFromFile	Запрещено ручное редактирование КВ	isManualCorrectionDisabled
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	alwaysUseMaxRate	fillCommRulesFromFile	Всегда использовать max КВ	alwaysUseMaxRate
ClientAction	AACommissionRulesFillCommRulesFromFile	ui-message	isDiscountDisabled	fillCommRulesFromFile	Запрещено применять скидку/надбавку за счёт КВ	isDiscountDisabled
ClientAction	AACommissionRulesUploadedHandler	ui-message	FileUploaded	uploadedHandler	Файл загружен	FileUploaded
UiSchema	AACommissionRules	ui-label	manualRuleDescription	manualRuleDescription	Описание ручной схемы КВ	manualRuleDescription
Rule	AACommissionRulesCommissionRulesValidation	rule	validation@ManualRuleDescriptionEmpty	commissionRulesValidation	E: При указании "Ручной схемы КВ" необходимо заполнить "Описание ручной схемы КВ"	E: commissionRulesValidation
