ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	AADocumentAdditionlaAttributes	field-title	isDocCorrect	isDocCorrect	Is documentation correct	Документация корректна
DataSchema	AADocumentAdditionlaAttributes	field-title	startDate	startDate	Start date	Дата начала
DataSchema	AADocumentAdditionlaAttributes	field-title	useNds	useNds	Use NDS	Использовать НДС
DataSchema	AADocumentAdditionlaAttributes	field-title	vatRate	vatRate	VAT vatRate	Ставка НДС
Rule	AADocumentAdditionlaAttributesValidation	rule	validation@vatEmpty	validation	vatEmpty	НДС не указан
Rule	AADocumentAdditionlaAttributesValidation	rule	validation@vatRateStartDateFirst	validation	First start date must be empty	Дата для первой строки должна быть пустой
Rule	AADocumentAdditionlaAttributesValidation	rule	validation@vatRateStartDateLaterDateIsGreater	validation	Date below must be greater than before	Каждая следующая дата должна быть больше предыдущей
Rule	AADocumentAdditionlaAttributesValidation	rule	validation@vatRateStartDateOthers	validation	Others start date must be set	Дата для последующих строк должна быть заполнена
UiSchema	AADocumentAdditionlaAttributes	ui-label	isDocCorrect	isDocCorrect	Is documentation correct	Документация корректна
UiSchema	AADocumentAdditionlaAttributes	ui-label	startDate	startDate	Start date	Дата начала
UiSchema	AADocumentAdditionlaAttributes	ui-label	useNds	useNds	Use NDS	Использовать НДС
UiSchema	AADocumentAdditionlaAttributes	ui-label	vatRate	vatRate	VAT rate	Ставка НДС
