ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	AADocumentAmendmentValidity	field-title	conclusionDate	conclusionDate	Дата заключения	conclusionDate
DataSchema	AADocumentAmendmentValidity	field-title	startDate	startDate	Дата начала	startDate
DataSchema	AADocumentAmendmentValidity	field-title	endDate	endDate	Дата окончания	endDate
UiSchema	AADocumentAmendmentValidity	ui-label	conclusionDate	conclusionDate	Дата заключения	conclusionDate
UiSchema	AADocumentAmendmentValidity	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	AADocumentAmendmentValidity	ui-label	endDate	endDate	Дата окончания	endDate
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@documentEndDateShouldBeGreaterThanStartDate	amendmentValidityDatesValidation	E: Дата окончания документа должна быть больше даты начала	E: documentEndDateShouldBeGreaterThanStartDate
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@ConclusionDateIsRequired	amendmentValidityDatesValidation	E: Дата заключения обязательна для заполнения	E: ConclusionDateIsRequired
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@StartDateIsRequired	amendmentValidityDatesValidation	E: Дата начала обязательна для заполнения	E: StartDateIsRequired
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@amendmentStartDateShouldBeGreaterOrEqualToDocumentStartDate	amendmentValidityDatesValidation	E: Дата начала ДС должна быть больше или равна дате начала документа	E: amendmentStartDateShouldBeGreaterOrEqualToDocumentStartDate
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@amendmentEndDateDateShouldBeLesserOrEqualToDocumentEndDate	amendmentValidityDatesValidation	E: Дата окончания ДС должна быть меньше или равна дате окончания документа	E: amendmentEndDateDateShouldBeLesserOrEqualToDocumentEndDate
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@amendmentConclusionDateShouldBeGreaterOrEqualToDocumentStartDate	amendmentValidityDatesValidation	E: Дата заключения ДС должна быть меньше или равна дате начала документа	E: amendmentConclusionDateShouldBeLesserOrEqualToDocumentStartDate
Rule	AADocumentAmendmentValidityAmendmentValidityDatesValidation	rule	validation@amendmentConclusionDateShouldBeLesserOrEqualToDocumentEndDate	amendmentValidityDatesValidation	E: Дата заключения ДС должна быть меньше или равна дате окончания документа	E: amendmentConclusionDateShouldBeLesserOrEqualToDocumentEndDate
