ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	AADocumentMainAttributes	field-title	Manual document number	Manual document number	Системный номер	Manual document number
DataSchema	AADocumentMainAttributes	field-title	External document number	External document number	Внешний номер	External document number
DataSchema	AADocumentMainAttributes	field-title	Sales channel	Sales channel	Канал продаж	Sales channel
DataSchema	AADocumentMainAttributes	field-title	RGS channel	RGS channel	РГС канал	RGS channel
DataSchema	AADocumentMainAttributes	field-title	cbAgentType	cbAgentType	Тип агента ЦБ	cbAgentType
DataSchema	AADocumentMainAttributes	field-title	Document currency	Document currency	Валюта	Document currency
DataSchema	AADocumentMainAttributes	field-title	Agency	Agency	Агентство	Agency
DataSchema	AADocumentMainAttributes	field-title	Order number	Order number	Ордер	Order number
UiSchema	AADocumentMainAttributes	ui-label	externalDocumentNumber	externalDocumentNumber	Внешний номер	externalDocumentNumber
UiSchema	AADocumentMainAttributes	ui-label	salesChannel	salesChannel	Канал продаж	salesChannel
UiSchema	AADocumentMainAttributes	ui-label	rgsChannel	rgsChannel	РГС канал	rgsChannel
UiSchema	AADocumentMainAttributes	ui-label	cbAgentType	cbAgentType	Тип агента ЦБ	cbAgentType
UiSchema	AADocumentMainAttributes	ui-label	agency	agency	Агентство	agency
UiSchema	AADocumentMainAttributes	ui-label	Currency	Currency	Валюта	Currency
UiSchema	AADocumentMainAttributes	ui-label	orderNumber	orderNumber	Ордер	orderNumber
UiSchema	AADocumentMainAttributes	ui-label	isPersonalBusiness	isPersonalBusiness	Indiv.business	Indiv.business
UiSchema	AADocumentMainAttributes	ui-label	agentAgreementNumber	agentAgreementNumber	Номер	agentAgreementNumber
UiSchema	AADocumentMainAttributes	ui-label	isTechnical	isTechnical	Технический агент	isTechnical
DataSchema	AADocumentMainAttributes	field-title	salesClassification	salesClassification	Классификация продаж	salesClassification
UiSchema	AADocumentMainAttributes	ui-label	salesClassification	salesClassification	Классификация продаж	salesClassification
UiSchema	AADocumentMainAttributes	ui-label	manualDocumentNumber	manualDocumentNumber	Внутренний номер	manualDocumentNumber
