ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	AADocumentValidity	field-title	conclusionDate	conclusionDate	Дата заключения	conclusionDate
DataSchema	AADocumentValidity	field-title	startDate	startDate	Дата начала	startDate
DataSchema	AADocumentValidity	field-title	endDate	endDate	Дата окончания	endDate
UiSchema	AADocumentValidity	ui-label	conclusionDate	conclusionDate	Дата заключения	conclusionDate
UiSchema	AADocumentValidity	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	AADocumentValidity	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	AADocumentValidity	ui-label	cancellationDate	cancellationDate	Дата расторжения	cancellationDate
Rule	AADocumentValidityDocumentValidityDatesValidation	rule	validation@documentEndDateShouldBeGreaterThanStartDate	documentValidityDatesValidation	E: Дата окончания документа должна быть больше даты начала	E: documentEndDateShouldBeGreaterThanStartDate
Rule	AADocumentValidityDocumentValidityDatesValidation	rule	validation@ConclusionDateIsRequired	documentValidityDatesValidation	E: Дата заключения обязательна для заполнения	E: ConclusionDateIsRequired
Rule	AADocumentValidityDocumentValidityDatesValidation	rule	validation@StartDateIsRequired	documentValidityDatesValidation	E: Дата начала обязательна для заполнения	E: StartDateIsRequired
Rule	AADocumentValidityDocumentValidityDatesValidation	rule	validation@conclusionDateShouldBeGreaterOrEqualToStartDate	documentValidityDatesValidation	E: Дата заключения должна быть меньше или равна дате начала	E: conclusionDateShouldBeLesserOrEqualToStartDate
Rule	AADocumentValidityDocumentValidityDatesValidation	rule	validation@conclusionDateShouldBeLesserOrEqualToEndDate	documentValidityDatesValidation	E: Дата заключения должна быть меньше или равна дате окончания	E: conclusionDateShouldBeLesserOrEqualToEndDate
