ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyCommission	ui-label	agentAgreement	agentAgreement	Агентский договор	Agent agreement
UiSchema	PolicyCommission	ui-label	calculateCommission	calculateCommission	Рассчитать КВ	calculateCommission
UiSchema	PolicyCommission	ui-label	insuredObjectDescription	insuredObjectDescription	Застрахованный	insuredObjectDescription
UiSchema	PolicyCommission	ui-label	policyItemDescription	policyItemDescription	Риск	policyItemDescription
UiSchema	PolicyCommission	ui-label	periodNumber	periodNumber	Год	periodNumber
UiSchema	PolicyCommission	ui-label	calculatedRate	calculatedRate	Ставка	calculatedRate
UiSchema	PolicyCommission	ui-label	manualRate	manualRate	Ручная ставка	manualRate
UiSchema	PolicyCommission	ui-label	calculatedAmount	calculatedAmount	Сумма	calculatedAmount
UiSchema	PolicyCommission	ui-label	manualAmount	manualAmount	Ручная сумма	manualAmount
UiSchema	PolicyCommission	ui-label	setManualCommission	setManualCommission	Установить ручное КВ	setManualCommission
ClientAction	PolicyCommissionCalculateCommission	ui-message	NoResponseFromServer	calculateCommission	Нет ответа от сервера	NoResponseFromServer
ClientAction	PolicyCommissionCalculateCommission	ui-message	MoreThanOneResultFound	calculateCommission	Найдено более одного подходящего условия	MoreThanOneResultFound
ClientAction	PolicyCommissionCalculateCommission	ui-message	NoResult	calculateCommission	Не найдено подходящих условий	NoResult
ClientAction	PolicyCommissionCalculateCommission	ui-message	UnknownCalculationError	calculateCommission	Неожиданная ошибка расчета	UnknownCalculationError
UiSchema	PolicyCommission	ui-label	PolicyCommission	PolicyCommission	Комиссия	PolicyCommission
UiSchema	PolicyCommission	ui-label	InvoicedCommission	InvoicedCommission	КВ Оценка	Invoiced commission
Rule	PolicyCommissionValidateCommission	rule	validation@commItemsWithoutCommissionFound	validateCommission	E: Условия комиссионного вознаграждения не заданы	E: validation@commItemsWithoutCommissionFound
UiSchema	PolicyCommission	ui-label	calculatedExpensesRate	calculatedExpensesRate	Расходы, %	calculatedExpensesRate
UiSchema	PolicyCommission	ui-label	manualExpensesRate	manualExpensesRate	Ручные расходы, %	manualExpensesRate
UiSchema	PolicyCommission	ui-label	calculatedNatuaralPersonRate	calculatedNatuaralPersonRate	КВ ФЛ, %	calculatedNatuaralPersonRate
UiSchema	PolicyCommission	ui-label	manualNatuaralPersonRate	manualNatuaralPersonRate	Ручное КВ ФЛ, %	manualNatuaralPersonRate
UiSchema	PolicyCommission	ui-label	calculatedSolePropriatorRate	calculatedSolePropriatorRate	КВ ИП, %	calculatedSolePropriatorRate
UiSchema	PolicyCommission	ui-label	manualSolePropriatorRate	manualSolePropriatorRate	Ручное КВ ИП, %	manualSolePropriatorRate
DataSchema	PolicyCommission	field-title	budgetRule	budgetRule	Наименование правила	budgetRule
DataSchema	PolicyCommission	field-title	ruleAlgoritm	ruleAlgoritm	Алгоритм	ruleAlgoritm
UiSchema	PolicyCommission	ui-label	budgetRule	budgetRule	Наименование правила	budgetRule
UiSchema	PolicyCommission	ui-label	budgetRuleAlgorithm	budgetRuleAlgorithm	Алгоритм	budgetRuleAlgorithm
UiSchema	PolicyCommission	ui-label	isManualBudgetRule	isManualBudgetRule	Ручное значение	isManualBudgetRule
UiSchema	PolicyCommission	ui-label	manualRule	manualRule	Ручная схема КВ	manualRule
Rule	PolicyCommissionValidateCommission	rule	validation@onlyFiveSignsForManualRule	validateCommission	Длина названия ручной ставки КВ - 5 символов	E: validation@onlyFiveSignsForManualRule
