ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AAChangeAmendment	actors	AdministratorAA	AdministratorAA	Администратор АД	AdministratorAA
DocumentConfiguration	AAChangeAmendment	actors	General	General	Общий	General
DocumentFlowDefinition	AAChangeAmendmentFlow	transitions	transitions@DraftToAnnulled@Title	DraftToAnnulled	Аннулировать	DraftToAnnulled
DocumentFlowDefinition	AAChangeAmendmentFlow	transitions	transitions@DraftToActivated@Title	DraftToActivated	Активировать	DraftToActivated
DocumentFlowDefinition	AAChangeAmendmentFlow	transitions	transitions@ActivatedToAnnulled@Title	ActivatedToAnnulled	Аннулировать	ActivatedToAnnulled
DocumentFlowDefinition	AAChangeAmendmentFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AAChangeAmendmentFlow	states	states@Draft	Draft	Заявление	Draft
DocumentFlowDefinition	AAChangeAmendmentFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	AAChangeAmendmentFlow	states	states@Annulled	Annulled	Аннулирован	Annulled
UiSchema	AAChangeAmendmentMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	AAChangeAmendmentMainContent	ui-label	Main attributes	Main attributes	Основная информация	Main attributes
UiSchema	AAChangeAmendmentMainContent	ui-label	AADetails	AADetails	Агентский договор	AADetails
UiSchema	AAChangeAmendmentMainContent	ui-label	Validity	Validity	Даты действия	Validity
UiSchema	AAChangeAmendmentMainContent	ui-label	Organisation	Organisation	Организация	Organisation
UiSchema	AAChangeAmendmentMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	AAChangeAmendmentMainContent	ui-label	Additional attributes	Additional attributes	Дополнительная информация	Additional attributes
UiSchema	AAChangeAmendmentMainContent	ui-label	CommissionRules	CommissionRules	Условия вознаграждения	CommissionRules
UiSchema	AAChangeAmendmentMainContent	ui-label	Commission rules	Commission rules	Условия вознаграждения	Commission rules
UiSchema	AAChangeAmendmentMainContent	ui-label	documentStatus	documentStatus	История статусов	documentStatus
Rule	AAChangeAmendmentRootLevelValidation	rule	validation@AmendmentManualDocumentNumberIsRequired	rootLevelValidation	E: Номер ДС обязателен	E: validation@AmendmentManualDocumentNumberIsRequired
DocumentConfiguration	AAChangeAmendment	rootConfiguration	AAChangeAmendment@Title	AAChangeAmendment	ДС на изменение	AAChangeAmendment
DataSchema	AAChangeAmendment	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен	commentIsRequired
DataSchema	AAChangeAmendment	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Необходимо указать автора комментария	commentAuthorIsRequired
Rule	AAChangeAmendmentDraftToActivatedTransitionRule	rule	validation@changesNoteIsRequired	DraftToActivated	E: Необходимо заполнить комментарий о внесенных изменениях	E: validation@changesNoteIsRequired
Rule	AAChangeAmendmentDraftToActivatedTransitionRule	rule	validation@otherNonActiveAmendmentsFound	DraftToActivated	"E: Невозможно активировать ДС. Найдены предыдущие ДС в статусе ""Заявление"""	E: validation@otherNonActiveAmendmentsFound
DocumentConfiguration	AAChangeAmendment	actors	ViewerAA	ViewerAA	Просмотр	ViewerAA
UiSchema	AAChangeAmendmentMainContent	ui-label	budgetRuleTab	budgetRuleTab	Бюджетное правило	budgetRuleTab
UiSchema	AAChangeAmendmentMainContent	ui-label	budgetRuleInfo	budgetRuleInfo	Бюджетное правило	budgetRuleInfo
