ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AgentAgreement	actors	AdministratorAA	AdministratorAA	Администратор АД	AdministratorAA
DocumentFlowDefinition	AgentAgreementFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AgentAgreementFlow	states	states@Draft	Draft	Заявление	Draft
DocumentConfiguration	AgentAgreement	rootConfiguration	AgentAgreement@Title	AgentAgreement	Агентский Договор	AgentAgreement
DataSchema	AgentAgreement	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен	commentIsRequired
DataSchema	AgentAgreement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Комментарий автора обязателен	commentAuthorIsRequired
UiSchema	AgentAgreementMainContent	ui-label	AA details	AA details	Договор	AA details
UiSchema	AgentAgreementMainContent	ui-label	Main attributes	Main attributes	Основная информация	Main attributes
UiSchema	AgentAgreementMainContent	ui-label	Validity	Validity	Даты действия	Validity
UiSchema	AgentAgreementMainContent	ui-label	Organisation	Organisation	Организация	Organisation
UiSchema	AgentAgreementMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	AgentAgreementMainContent	ui-label	Additional attributes	Additional attributes	Дополнительная информация	Additional attributes
UiSchema	AgentAgreementMainContent	ui-label	CommissionRules	CommissionRules	Условия вознаграждения	CommissionRules
DocumentFlowDefinition	AgentAgreementFlow	transitions	transitions@DraftToAnnulled@Title	DraftToAnnulled	Аннулировать	DraftToAnnulled
DocumentFlowDefinition	AgentAgreementFlow	transitions	transitions@DraftToActivated@Title	DraftToActivated	Активировать	DraftToActivated
DocumentFlowDefinition	AgentAgreementFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	AgentAgreementFlow	states	states@Cancelled	Cancelled	Расторгнут	Cancelled
DocumentFlowDefinition	AgentAgreementFlow	states	states@Annulled	Annulled	Аннулирован	Annulled
UiSchema	AgentAgreementMainContent	ui-label	documentStatus	documentStatus	История статусов	documentStatus
DocumentFlowDefinition	AgentAgreementFlow	transitions	transitions@ActivatedToPortfolioMovement@Title	ActivatedToPortfolioMovement	Передача портфеля	ActivatedToPortfolioMovement
DocumentFlowDefinition	AgentAgreementFlow	states	states@PortfolioMovement	PortfolioMovement	Передача портфеля	PortfolioMovement
DocumentConfiguration	AgentAgreement	actors	General	General	Общий	General
UiSchema	AgentAgreementMainContent	ui-label	Commission rules	Commission rules	Условия вознаграждения	Commission rules
DocumentFlowDefinition	AgentAgreementFlow	transitions	transitions@ActivatedToCancelled@Title	ActivatedToCancelled	Расторгнуть	ActivatedToCancelled
DocumentFlowDefinition	AgentAgreementFlow	transitions	transitions@CancelledtoActivated@Title	CancelledtoActivated	Реактивировать	CancelledtoActivated
UiSchema	AgentAgreementMainContent	ui-label	amendmentList	amendmentList	Изменения	amendmentList
DocumentConfiguration	AgentAgreement	actors	ViewerAA	ViewerAA	Просмотр	ViewerAA
UiSchema	AgentAgreementMainContent	ui-label	budgetRuleTab	budgetRuleTab	Бюджетное правило	budgetRuleTab
UiSchema	AgentAgreementMainContent	ui-label	budgetRuleInfo	budgetRuleInfo	Бюджетное правило	budgetRuleInfo
