ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	AAAmednmentListView	actors	General	General	Общий	General
UiSchema	AAAmednmentListViewUiSchema	ui-label	documentNumber	documentNumber	Идентификатор	documentNumber
UiSchema	AAAmednmentListViewUiSchema	ui-label	manualDocumentNumber	manualDocumentNumber	Номер документа	manualDocumentNumber
UiSchema	AAAmednmentListViewUiSchema	ui-label	documentType	documentType	Тип	documentType
UiSchema	AAAmednmentListViewUiSchema	ui-label	createdOn	createdOn	Создан	createdOn
UiSchema	AAAmednmentListViewUiSchema	ui-label	createdBy	createdBy	Создал	createdBy
UiSchema	AAAmednmentListViewUiSchema	ui-label	state	state	Статус	state
ViewConfiguration	AAAmednmentListView	rootConfiguration	AAAmednmentListView@Title	AAAmednmentListView	Список ДС	AAAmednmentListView
UiSchema	AAAmednmentListViewUiSchema	ui-label	changesNoteShort	changesNoteShort	Комментарий	changesNoteShort
UiSchema	AAAmednmentListViewUiSchema	ui-label	changesNoteFull	changesNoteFull	Комментарий	changesNoteFull
UiSchema	AAAmednmentListViewUiSchema	ui-label	sequenceNumber	sequenceNumber	Номер версии	sequenceNumber
