ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AADocumentSearchView	rootConfiguration	AADocumentSearchView@Title	AADocumentSearchView	AADocumentSearchView	Поиск агентских договоров
ViewConfiguration	AADocumentSearchView	actors	General	General	General	Общий
UiSchema	AADocumentSearchViewFiltersContent	ui-label	startDate	startDate	startDate	Дата начала с
UiSchema	AADocumentSearchViewFiltersContent	ui-label	endDate	endDate	endDate	Дата окончания по
UiSchema	AADocumentSearchViewFiltersContent	ui-label	externalNumber	externalNumber	externalNumber	Внешний номер
UiSchema	AADocumentSearchViewFiltersContent	ui-label	documentStates	documentStates	documentStates	Статус
UiSchema	AADocumentSearchViewFiltersContent	ui-label	agentPersonalNumber	agentPersonalNumber	agentPersonalNumber	Табельный номер агента
UiSchema	AADocumentSearchViewFiltersContent	ui-label	agentPartyType	agentPartyType	agentPartyType	Тип агента
UiSchema	AADocumentSearchViewFiltersContent	ui-label	salesChannel	salesChannel	salesChannel	Канал продаж
UiSchema	AADocumentSearchViewResultsContent	ui-label	externalNumber	externalNumber	externalNumber	Внешний номер
UiSchema	AADocumentSearchViewResultsContent	ui-label	startDate	startDate	startDate	Дата начала
UiSchema	AADocumentSearchViewResultsContent	ui-label	endDate	endDate	endDate	Дата окончания
UiSchema	AADocumentSearchViewResultsContent	ui-label	documentState	documentState	documentState	Статус
UiSchema	AADocumentSearchViewFiltersContent	ui-label	agent	agent	agent	Агент
UiSchema	AADocumentSearchViewResultsContent	ui-label	agentName	agentName	agentName	Агент
UiSchema	AADocumentSearchViewResultsContent	ui-label	conclusionDate	conclusionDate	conclusionDate	Дата заключения
UiSchema	AADocumentSearchViewFiltersContent	ui-label	documentNumber	documentNumber	documentNumber	Номер
UiSchema	AADocumentSearchViewResultsContent	ui-label	documentNumber	documentNumber	documentNumber	Номер
UiSchema	AADocumentSearchViewFiltersContent	ui-label	orderNumber	orderNumber	orderNumber	Ордер
UiSchema	AADocumentSearchViewFiltersContent	ui-label	mvzNumber	mvzNumber	mvzNumber	КСП
UiSchema	AADocumentSearchViewFiltersContent	ui-label	agencyCode	agencyCode	agencyCode	Агентство
UiSchema	AADocumentSearchViewFiltersContent	ui-label	agentTypeCode	agentTypeCode	agentTypeCode	Тип агента ЦБ
UiSchema	AADocumentSearchViewResultsContent	ui-label	Export Report	Export Report	Export Report	Экспорт отчета
UiSchema	AADocumentSearchViewResultsContent	ui-label	agentPersonalNumber	agentPersonalNumber	agentPersonalNumber	Табельный номер агента
UiSchema	AADocumentSearchViewResultsContent	ui-label	salesChannelName	salesChannelName	salesChannelName	Канал продаж
UiSchema	AADocumentSearchViewResultsContent	ui-label	agentPartyType	agentPartyType	agentPartyType	Тип агента
UiSchema	AADocumentSearchViewResultsContent	ui-label	agency	agency	agency	Агентство
UiSchema	AADocumentSearchViewResultsContent	ui-label	cbAgentType	cbAgentType	cbAgentType	Тип агента ЦБ
ClientAction	AADocumentSearchViewAgentAgreementPartyTypeMapping	ui-message	SoleProprietor	agentAgreementPartyTypeMapping	SoleProprietor	ИП
