ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	EditPaymentPlanView	actors	General	General	General	Общий
ViewConfiguration	EditPaymentPlanView	rootConfiguration	EditPaymentPlanView@Title	EditPaymentPlanView	Edit payment plan	График оплаты
UiSchema	EditPaymentPlanViewUiSchema	ui-label	paymentPeriodStart	paymentPeriodStart	paymentPeriodStart	Дата начала периода
UiSchema	EditPaymentPlanViewUiSchema	ui-label	paymentPeriodEnd	paymentPeriodEnd	paymentPeriodEnd	Дата окончания периода
DataSchema	EditPaymentPlanView	field-title	paymentPeriodStart	paymentPeriodStart	paymentPeriodStart	Дата начала периода
DataSchema	EditPaymentPlanView	field-title	paymentPeriodEnd	paymentPeriodEnd	paymentPeriodEnd	Дата окончания периода
DataSchema	EditPaymentPlanView	field-title	paymentGraceDateProlongation	paymentGraceDateProlongation	paymentGraceDateProlongation	Дата продления льготного периода
UiSchema	EditPaymentPlanViewUiSchema	ui-label	paymentGraceDateProlongation	paymentGraceDateProlongation	paymentGraceDateProlongation	Дата продления льготного периода
DataSchema	EditPaymentPlanView	field-title	paymentExpirationDate	paymentExpirationDate	paymentExpirationDate	Дата крайнего срока оплаты
UiSchema	EditPaymentPlanViewUiSchema	ui-label	paymentExpirationDate	paymentExpirationDate	paymentExpirationDate	Дата крайнего срока оплаты
