ApplicationUserGroup	ApplicationRole	AssignmentOperator
actuary	General	Add
actuary	GeneralBackOffice	Add
actuary	PartyViewer	Add
actuary	ActuaryGroup	Add
underwriting	General	Add
underwriting	GeneralBackOffice	Add
underwriting	PartyEditor	Add
underwriting	UnderwritingGroup	Add
underwriting	ViewClaim	Add
underwriting	EndowmentViewer	Add
underwriting	PostSalesInquiry	Add
underwriting2	General	Add
underwriting2	GeneralBackOffice	Add
underwriting2	PartyEditor	Add
underwriting2	UnderwritingGroup	Add
underwriting2	ViewClaim	Add
underwriting2	EndowmentViewer	Add
underwriting2	PostSalesInquiry	Add
accounting	General	Add
accounting	GeneralBackOffice	Add
accounting	PartyViewer	Add
accounting	AccountingGroup	Add
accounting	ViewClaim	Add
accounting	EndowmentViewer	Add
accounting	PostSalesInquiry	Add
investment	General	Add
investment	GeneralBackOffice	Add
investment	PartyViewer	Add
investment	InvestmentGroup	Add
investment	ViewClaim	Add
investment	EndowmentViewer	Add
investment	ContractEntityEditor	Add
investment	InvestmentProfitSpecialist	Add
investment	ProductConfigurationEditor	Add
investment	EconomicParametersEditor	Add
investment	ContractReports	Add
compliance	General	Add
compliance	GeneralBackOffice	Add
compliance	PartyEditor	Add
compliance	ComplianceGroup	Add
compliance	AgentVerificationEditor	Add
compliance	ViewClaim	Add
compliance	EndowmentViewer	Add
compliance	ContractReports	Add
compliance	PostSalesInquiry	Add
podft	General	Add
podft	GeneralBackOffice	Add
podft	PartyEditor	Add
podft	PodftGroup	Add
podft	AgentVerificationEditor	Add
podft	ViewClaim	Add
podft	EndowmentViewer	Add
podft	ContractReports	Add
podft	PostSalesInquiry	Add
operations	General	Add
operations	GeneralBackOffice	Add
operations	PartyEditor	Add
operations	PartyEditorPhoneActuality	Add
operations	OperationsGroup	Add
operations	ViewClaim	Add
operations	EndowmentViewer	Add
operations	ContractReports	Add
operations	PostSalesInquiry	Add
operationsDirector	General	Add
operationsDirector	GeneralBackOffice	Add
operationsDirector	PartyEditor	Add
operationsDirector	PartyEditorPhoneActuality	Add
operationsDirector	OperationsDirectorGroup	Add
operationsDirector	ViewClaim	Add
operationsDirector	EndowmentViewer	Add
operationsDirector	ContractReports	Add
operationsDirector	PostSalesInquiry	Add
agentSalesSupport	General	Add
agentSalesSupport	GeneralBackOffice	Add
agentSalesSupport	PartyEditor	Add
agentSalesSupport	AgentSalesSupportGroup	Add
partnerSalesSupport	General	Add
partnerSalesSupport	GeneralBackOffice	Add
partnerSalesSupport	PartyEditor	Add
partnerSalesSupport	PartnerSalesSupportGroup	Add
partnerSalesSupport	ViewClaim	Add
partnerSalesSupport	EndowmentViewer	Add
claims	General	Add
claims	GeneralBackOffice	Add
claims	PartyEditor	Add
claims	ClaimsGroup	Add
claims	ViewClaim	Add
claims	EndowmentViewer	Add
claims	PostSalesInquiry	Add
claimDirector	ClaimDirector	Add
claimDirector	ViewClaim	Add
claimDirector	GeneralBackOffice	Add
claimDirector	General	Add
claimDirector	PartyEditor	Add
claimDirector	EndowmentViewer	Add
claimDirector	PostSalesInquiry	Add
security	General	Add
security	GeneralBackOffice	Add
security	PartyViewer	Add
security	SecurityGroup	Add
security	ViewClaim	Add
security	EndowmentViewer	Add
security	ContractReports	Add
security	PostSalesInquiry	Add
products	General	Add
products	GeneralBackOffice	Add
products	PartyViewer	Add
products	ProductsGroup	Add
products	ContractReports	Add
legal	General	Add
legal	GeneralBackOffice	Add
legal	PartyViewer	Add
legal	LegalGroup	Add
legal	ViewClaim	Add
legal	EndowmentViewer	Add
methodology	General	Add
methodology	GeneralBackOffice	Add
methodology	PartyViewer	Add
methodology	MethodologyGroup	Add
methodology	ViewClaim	Add
methodology	EndowmentViewer	Add
methodology	ContractReports	Add
methodology	PostSalesInquiry	Add
UKSP	General	Add
UKSP	GeneralBackOffice	Add
UKSP	PartyEditor	Add
UKSP	UKSPGroup	Add
UKSP	ViewClaim	Add
UKSP	EndowmentViewer	Add
UKSP	ContractReports	Add
salesPSB	General	Add
salesPSB	PartyEditor	Add
salesPSB	SalesPSBGroup	Add
salesPSB	GeneralSales	Add
administratorAAandAVR	AdministratorAA	Add
administratorAAandAVR	AdminCommissionAct	Add
administratorAAandAVR	ContractReports	Add
administratorAAandAVR	General	Add
administratorAAandAVR	GeneralBackOffice	Add
administratorAAandAVR	PartyEditor	Add
administratorAAandAVR	PaymentDistributionUser	Add
administratorAAandAVR	PaymentOrderAdministrator	Add
administratorAAandAVR	SMGO	Add
administratorAAandAVR	WTTJ	Add
administratorAAandAVR	OrganisationViewer	Add
administratorAAandAVR	SubAgentImport	Add
specialistAAandAVR	SpecialistAA	Add
specialistAAandAVR	UserCommissionAct	Add
specialistAAandAVR	ContractReports	Add
specialistAAandAVR	General	Add
specialistAAandAVR	GeneralBackOffice	Add
specialistAAandAVR	PartyEditor	Add
specialistAAandAVR	PaymentDistributionUser	Add
specialistAAandAVR	PaymentOrderAdministrator	Add
specialistAAandAVR	SMGO	Add
specialistAAandAVR	WTTJ	Add
specialistAAandAVR	OrganisationViewer	Add
specialistAAandAVR	SubAgentImport	Add
methodologyDirector	MethodologyDirector	Add
methodologyDirector	ViewClaim	Add
methodologyDirector	GeneralBackOffice	Add
methodologyDirector	General	Add
methodologyDirector	PartyViewer	Add
methodologyDirector	ContractReports	Add
methodologyDirector	PostSalesInquiry	Add
methodologyDirector	EndowmentAdministrator	Add
salesBFKO	General	Add
salesBFKO	PartyEditor	Add
salesBFKO	SalesBFKOGroup	Add
salesBFKO	GeneralSales	Add
salesBFKO	SalesBFKOAutoGroup	Add
salesDemo	General	Add
salesDemo	PartyEditor	Add
salesDemo	SalesDemoGroup	Add
salesDemo	GeneralSales	Add
salesAKCEPT	General	Add
salesAKCEPT	PartyEditor	Add
salesAKCEPT	SalesAKCEPTGroup	Add
salesAKCEPT	GeneralSales	Add
salesAKCEPT	AccumulatedLifeAKCEPTMass	Add
salesAKCEPT	InvestmentLifeAKCEPTMass	Add
salesAKBARS	General	Add
salesAKBARS	PartyEditor	Add
salesAKBARS	SalesAKBARSGroup	Add
salesAKBARS	GeneralSales	Add
salesAKBARS	AccumulatedLifeAKBARSMass	Add
salesAKBARS	InvestmentLifeAKBARSMass	Add
salesZENIT	General	Add
salesZENIT	PartyEditor	Add
salesZENIT	SalesZENITGroup	Add
salesZENIT	GeneralSales	Add
salesZENIT	AccumulatedLifeZENITMass	Add
salesZENIT	InvestmentLifeZENITMass	Add
salesPSBVIP	General	Add
salesPSBVIP	PartyEditor	Add
salesPSBVIP	SalesPSBVIPGroup	Add
salesPSBVIP	GeneralSales	Add
salesPSBVIP	InvestmentLifePSBVIP	Add
salesBFKOAuto	General	Add
salesBFKOAuto	PartyEditor	Add
salesBFKOAuto	SalesBFKOAutoGroup	Add
salesBFKOAuto	GeneralSales	Add
salesBFKOAuto	SalesBFKOGroup	Add
salesOAS	General	Add
