Code	Data.name	Data.type
actuary	actuary	backOffice
underwriting	underwriting	backOffice
underwriting2	underwriting	backOffice
accounting	accounting	backOffice
investment	investment	backOffice
compliance	compliance	backOffice
podft	podft	backOffice
operations	operations	backOffice
operationsDirector	operationsDirector	backOffice
agentSalesSupport	agentSalesSupport	backOffice
partnerSalesSupport	partnerSalesSupport	backOffice
claims	claims	backOffice
security	security	backOffice
products	products	backOffice
legal	legal	backOffice
methodology	methodology	backOffice
UKSP	UKSP	backOfficeMaintenance
salesPSB	salesPSB	sales
administratorAAandAVR	administratorAAandAVR	commission
specialistAAandAVR	specialistAAandAVR	commission
claimDirector	claimDirector	backOffice
methodologyDirector	methodologyDirector	backOffice
salesBFKO	salesBFKO	sales
salesDemo	salesDemo	sales
salesAKCEPT	salesAKCEPT	sales
salesAKBARS	salesAKBARS	sales
salesZENIT	salesZENIT	sales
salesPSBVIP	salesPSBVIP	sales
salesBFKOAuto	salesBFKOAuto	sales
salesOAS	salesOAS	sales
callCenter	callCenter	sales
clientServiceCenter	clientServiceCenter	sales
salesMINBANK	salesMINBANK	sales
audit	audit	audit
deputyDirector	deputyDirector	backOffice
salesBFKOVIP	salesBFKOVIP	sales
salesSOVKOMVIP	salesSOVKOMVIP	sales
salesROSBANKVIP	salesROSBANKVIP	sales
claimAdministrator	claimAdministrator	backOffice
salesSMP	salesSMP	sales
salesREINVEST	salesREINVEST	sales
endowmentAdministrator	endowmentAdministrator	backOffice
salesVTB	salesVTB	sales
tester	tester	backOffice
salesVTBMass	salesVTBMass	sales
salesLIFEINVEST	salesLIFEINVEST	sales
salesPB	salesPB	sales
salesUBRR	salesUBRR	sales
salesEKSPO	salesEKSPO	sales
UFO	UFO	backOffice
salesDummyNs	salesDummyNs	sales
salesDummyPools	salesDummyPools	sales
policyCreatorByService	policyCreatorByService	backOffice
salesVTBVIP	salesVTBVIP	sales
salesVTBVIPNT	salesVTBVIPNT	sales
salesVTBPremium	salesVTBPremium	sales
salesVTBPremiumNT	salesVTBPremiumNT	sales
salesVTBMassProducts	salesVTBMassProducts	sales
salesVTBMassINV	salesVTBMassINV	sales
salesVTBMassNT	salesVTBMassNT	sales
salesPSBProducts	salesPSBProducts	sales
salesPSBNT	salesPSBNT	sales
salesPSBAffluentNT	salesPSBAffluentNT	sales
salesPSBAffluent	salesPSBAffluent	sales
salesPSBMIMO	salesPSBMIMO	sales
