ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	ApplicationUserGroupUiSchema	ui-label	General Information	General Information	Главная Информация	General Information
UiSchema	ApplicationUserGroupUiSchema	ui-label	User Group Code	User Group Code	Код группы пользователей	User Group Code
UiSchema	ApplicationUserGroupUiSchema	ui-label	Group name	Group name	Название группы	Group Name
MasterEntityConfiguration	ApplicationUserGroup	rootConfiguration	ApplicationUserGroup@Title	ApplicationUserGroup	Группа пользователей приложения	Application User Group
MasterEntityConfiguration	ApplicationUserGroup	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор организации	Organisation Administrator
UiSchema	ApplicationUserGroupUiSchema	operations	operations@Save@Title	Save	Сохранить	Save
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@actuary@name	name	Актуарии	actuary
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@underwriting@name	name	Андеррайтеры1	underwriting1
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@underwriting2@name	name	Андеррайтеры2	underwriting2
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@accounting@name	name	Бухгалтеры	accounting
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@investment@name	name	Инвестиции	investment
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@compliance@name	name	Комплаенс	compliance
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@podft@name	name	ПОД/ФТ	podft
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@operations@name	name	ОПЕРУ	operations
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@agentSalesSupport@name	name	Агентская поддержка продаж	agentSalesSupport
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@partnerSalesSupport@name	name	Партнёрская поддержка продаж	partnerSalesSupport
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@claims@name	name	Урегулирование убытков	claims
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@security@name	name	Безопасность	security
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@products@name	name	Продуктовая фабрика	products
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@legal@name	name	Юристы	legal
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@methodology@name	name	Методология	methodology
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@UKSP@name	name	УКСП	UKSP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSB@name	name	Продажи ПСБ	salesPSB
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTB@name	name	Продажи ВТБ	salesVTB
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@administratorAAandAVR@name	name	Администратор АД и АВР	administratorAAandAVR
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@specialistAAandAVR@name	name	Специалист АВР и АД	specialistAAandAVR
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@claimDirector@name	name	Урегулирование убытков - руководитель	claimDirector
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@methodologyDirector@name	name	Директор по методологии	methodologyDirector
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@operationsDirector@name	name	ОПЕРУ-руководитель	operationsDirector
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesBFKO@name	name	Продажи БФКО	salesBFKO
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesDemo@name	name	Продажи Демо	salesDemo
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesAKCEPT@name	name	Продажи АКЦЕПТ	salesAKCEPT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesAKBARS@name	name	Продажи АКБАРС	salesAKBARS
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesZENIT@name	name	Продажи ЗЕНИТ	salesZENIT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSBVIP@name	name	Продажи ПСБ Прайвет	salesPSBVIP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesBFKOAuto@name	name	Продажи БФКО Авто	salesBFKOAuto
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesOAS@name	name	Продажи ОАС	salesOAS
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@callCenter@name	name	Колл-центр	callCenter
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@clientServiceCenter@name	name	Направление клиентского сервиса	clientServiceCenter
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesMINBANK@name	name	Продажи МИНБанк	salesMINBANK
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@audit@name	name	Внутренний аудит	audit
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@deputyDirector@name	name	Зам. ген. директора	deputyDirector
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesBFKOVIP@name	name	Продажи БФКО ПРайвет	salesBFKOVIP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesSOVKOMVIP@name	name	Продажи Совкомбанк ПРайвет	salesSOVKOMVIP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesROSBANKVIP@name	name	Продажи Росбанк ПРайвет	salesROSBANKVIP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@claimAdministrator@name	name	Администратор убытков	claimAdministrator
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesSMP@name	name	Продажи СМП банк	salesSMP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesREINVEST@name	name	Продажи Реинвест	salesREINVEST
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@endowmentAdministrator@name	name	Администратор Дожитий/ДИД	endowmentAdministrator
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@tester@name	name	Тестирование	tester
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBMass@name	name	Продажи ВТБ розница	salesVTBMass
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesLIFEINVEST@name	name	Продажи Лайф Инвест	salesLIFEINVEST
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPB@name	name	Продажи Почта Банк	salesPB
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesUBRR@name	name	Продажи УБРиР	salesUBRR
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesEKSPO@name	name	Продажи ЭКСПО БАНК	salesEKSPO
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@UFO@name	name	УФО	UFO
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesDummyNs@name	name	Спорт НС	salesDummyNs
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesDummyPools@name	name	Спорт НС пулы	salesDummyPools
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@policyCreatorByService@name	name	Создание договоров	policyCreatorByService
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBVIP@name	name	Продавец ВТБ Прайм	salesVTBVIP
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBVIPNT@name	name	Продавец ВТБ Прайм НТ	salesVTBVIPNT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBPremium@name	name	Продавец ВТБ Привилегия	salesVTBPremium
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBPremiumNT@name	name	Продавец ВТБ Привилегия НТ	salesVTBPremiumNT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBMassProducts@name	name	Продавец ВТБ РОЗНИЦА Продукты	salesVTBMassProducts
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBMassINV@name	name	Продавец ВТБ РОЗНИЦА ИСЖ	salesVTBMassINV
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesVTBMassNT@name	name	Продавец ВТБ РОЗНИЦА НТ	salesVTBMassNT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSBProducts@name	name	Продавец ПСБ Продукты	salesPSBProducts
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSBNT@name	name	Продавец ПСБ НТ	salesPSBNT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSBAffluentNT@name	name	Продавец ПСБ Премиум НТ	salesPSBAffluentNT
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSBAffluent@name	name	Продавец ПСБ Премиум	salesPSBAffluent
DataSchema	ApplicationUserGroup	localized-field	ApplicationUserGroup@salesPSBMIMO@name	name	Продавец ПСБ МиМО	salesPSBMIMO
