ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Execute Service	UsersAuditExportExcel	DataExportConfiguration	*	Add
General	Execute Service	DisableUserIfExpiredDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetApplicationRGSLRolesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetApplicationUsersDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetApplicationUsernamesByAttachmentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetGroupsOfUserDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UserExpiringNotificationDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UsersAuditDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UsersToUpdateExpireDateDataSource	DataSourceConfiguration	*	Add
ServiceExecutor	Execute Service	DisableUserIfExpiredEtl	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	UpdateUserExpireDateEtl	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	UserExpiringNotificationEtl	EtlServiceConfiguration	*	Add
OrganisationAdministrator	Execute Service	ApplicationUserMigrationService	IntegrationServiceConfiguration	*	Add
OrganisationViewer	Execute Service	ApplicationUserMigrationService	IntegrationServiceConfiguration	*	Add
General	Execute Service	ApplicationUserResetPasswordService	IntegrationServiceConfiguration	*	Add
OrganisationAdministrator	Allow Actor	ApplicationRGSLRoleSearchView	ViewConfiguration	OrganisationAdministrator	Add
General	Allow Actor	ApplicationUserInGroupSearchView	ViewConfiguration	General	Add
General	Allow Actor	ApplicationUserLookup	ViewConfiguration	Agent	Add
OrganisationAdministrator	Allow Actor	ApplicationUserSearchView	ViewConfiguration	Administrator	Add
OrganisationViewer	Allow Actor	ApplicationUserSearchView	ViewConfiguration	Administrator	Add
OrganisationAdministrator	Allow Actor	ApplicationUserViewKeycloak	ViewConfiguration	Administrator	Add
OrganisationViewer	Allow Actor	ApplicationUserViewKeycloak	ViewConfiguration	Viewer	Add
General	Allow Actor	CurrentUserViewKeycloak	ViewConfiguration	System	Add
