ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ClientAction	ApplicationUserDetailsPartyResultMapping	ui-message	PartyHasAnotherUser	partyResultMapping	This party already has an application user assigned!	Уже есть пользователь связанный с выбранным контрагентом!
ClientAction	ApplicationUserDetailsPartyResultMapping	ui-message	PartyHasNoEmployee	partyResultMapping	PartyHasNoEmployee	Выбранный контрагент должен быть связан с сотрудником!
DataSchema	ApplicationUserDetails	enum	applicationUserLoginType@AzureADAuthentication	AzureADAuthentication	Azure AD Authentication	Аутентификация Azure AD
DataSchema	ApplicationUserDetails	enum	applicationUserLoginType@SCIM	SCIM	SCIM	SCIM
DataSchema	ApplicationUserDetails	enum	applicationUserLoginType@UsernamePassword	UsernamePassword	Username Password	Имя пользователя Пароль
DataSchema	ApplicationUserDetails	enum	applicationUserLoginType@WindowsAuthentication	WindowsAuthentication	Windows Authentication	Проверка подлинности Windows
DataSchema	ApplicationUserDetails	field-title	Email	Email	Email	Электронная почта
DataSchema	ApplicationUserDetails	field-title	ExpireDate	ExpireDate	ExpireDate	Дата окончания действия
DataSchema	ApplicationUserDetails	field-title	Login Type	Login Type	Login Type	Тип входа в систему
DataSchema	ApplicationUserDetails	field-title	Username	Username	Username	Имя пользователя
Rule	ApplicationUserDetailsEmailValidation	rule	validation@ApplicationUserDetailsEmailValidation	emailValidation	E: Email is not valid.	E: Email не является допустимым.
Rule	ApplicationUserDetailsPasswordComplexity	rule	validation@PasswordComplexityRules	passwordComplexity	E: Password does not follow complexity rules. Password must meet 4 following complexity rules: at least 1 uppercase character, at least 1 lowercase character, at least 1 digit, at least 1 special character.	E: Пароль не соответствует правилам сложности. Пароль должен соответствовать следующим 4 правилам сложности: как минимум 1 заглавный символ латинского алфавита (от A до Z), как минимум 1 строчный символ латинского алфавита (от a до z), как минимум 1 цифра (от 0 до 9), как минимум 1 специальный символ (~!@#$%^&*_-+=`|(){}[]:;"'<>,.?/).
