ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	ApplicationUserSearchViewResultsContent	ui-label	Expire date	Expire date	Expire date	Дата окончания доступа
UiSchema	ApplicationUserSearchViewFiltersContent	ui-label	Expire date from	Expire date from	Expire date from	Дата окончания доступа от
UiSchema	ApplicationUserSearchViewFiltersContent	ui-label	Expire date to	Expire date to	Expire date to	Дата окончания доступа до
UiSchema	ApplicationUserSearchViewActionsContent	ui-label	Export Report	Export Report	Export Report	Выгрузить отчет
UiSchema	ApplicationUserSearchViewFiltersContent	ui-label	General search	General search	General Search	Общий поиск
UiSchema	ApplicationUserSearchViewResultsContent	ui-label	Party code	Party code	Party Code	Код контрагента
UiSchema	ApplicationUserSearchViewResultsContent	ui-label	Party name	Party name	Party Name	Наименование контрагента
UiSchema	ApplicationUserSearchViewFiltersContent	ui-label	Username	Username	Username	Имя пользователя
UiSchema	ApplicationUserSearchViewResultsContent	ui-label	Username	Username	Username	Имя пользователя
ViewConfiguration	ApplicationUserSearchView	actors	Administrator	Administrator	Administrator	Администратор
ViewConfiguration	ApplicationUserSearchView	rootConfiguration	ApplicationUserSearchView@Title	ApplicationUserSearchView	User Overview	Обзор пользователя
