ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ClientAction	ApplicationUserViewKeycloakSaveUser	ui-message	PasswordHasBeenChanged	saveUser	Password has been changed!	Пароль успешно изменён!
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Assigned roles	Assigned roles	Assigned Roles	Назначенные роли
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Derived from user groups	Derived from user groups	Derived From User Groups	Получено из групп пользователей
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Description	Description	Description	Описание
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Group	Group	Group	Группа
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Groups and roles	Groups and roles	Groups and Roles	Группы и роли
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Is group manager	Is group manager	Is Group Manager	Менеджер группы
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	No	No	No	Нет
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Save	Save	Save	Сохранить
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Substitute user	Substitute user	Substitute User	Замещающий пользователь
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	User groups	User groups	User Groups	Группы пользователей
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	User roles	User roles	User Roles	Роли пользователей
UiSchema	ApplicationUserViewKeycloakUiSchema	ui-label	Yes	Yes	Yes	Да
ViewConfiguration	ApplicationUserViewKeycloak	actors	Administrator	Administrator	Administrator	Администратор
ViewConfiguration	ApplicationUserViewKeycloak	rootConfiguration	ApplicationUserViewKeycloak@Title	ApplicationUserViewKeycloak	Application User	Пользователь приложения
ViewConfiguration	ApplicationUserViewKeycloak	actors	Viewer	Viewer	Viewer	Просмотр
