ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
AssetEditor	Allow Actor	Asset	DocumentConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	Asset	DocumentConfiguration	AssetViewer	Add
General	Execute Service	AssetDataSource	DataSourceConfiguration	*	Add
AssetEditor	Allow Actor	AssetSearchInlineView	ViewConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	AssetSearchInlineView	ViewConfiguration	AssetViewer	Add
AssetEditor	Allow Actor	AssetChangeAmendment	DocumentConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	AssetChangeAmendment	DocumentConfiguration	AssetViewer	Add
General	Execute Service	AssetConditionsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AssetRemainderDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AssetEntityDataSource	DataSourceConfiguration	*	Add
System	Execute Service	AssetNotification	IntegrationServiceConfiguration	*	Add
Administrator	Execute Service	AssetNotification	IntegrationServiceConfiguration	*	Add
General	Execute Service	AssetNotification	IntegrationServiceConfiguration	*	Add
AssetEditor	Execute Service	AssetNotification	IntegrationServiceConfiguration	*	Add
AssetViewer	Execute Service	AssetNotification	IntegrationServiceConfiguration	*	Add
AssetEditor	Allow Actor	AssetRegisterOfTransactionInlineView	ViewConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	AssetRegisterOfTransactionInlineView	ViewConfiguration	AssetViewer	Add
AssetEditor	Allow Actor	AssetReportOnDateInlineView	ViewConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	AssetReportOnDateInlineView	ViewConfiguration	AssetViewer	Add
System	Allow Actor	AssetEntity	MasterEntityConfiguration	System	Add
AssetEditor	Allow Actor	AssetEntity	MasterEntityConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	AssetEntity	MasterEntityConfiguration	AssetViewer	Add
General	Allow Actor	AssetEntity	MasterEntityConfiguration	Agent	Add
AssetEditor	Allow Actor	AssetReportOnPeriodInlineView	ViewConfiguration	AssetEditor	Add
AssetViewer	Allow Actor	AssetReportOnPeriodInlineView	ViewConfiguration	AssetViewer	Add
