ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	MainInformation	field-title	currency	currency	currency	Валюта актива
DataSchema	MainInformation	field-title	currencyCode	currencyCode	currencyCode	Валюта актива (код)
DataSchema	MainInformation	field-title	currencyDesc	currencyDesc	currencyDesc	Валюта актива (описание)
DataSchema	MainInformation	field-title	currencyNumericCode	currencyNumericCode	currencyNumericCode	Валюта актива (currencyNumericCode)
UiSchema	MainInformation	ui-label	Active type	Active type	Active type	Тип актива
UiSchema	MainInformation	ui-label	Issuer	Issuer	Issuer	Эмитент
UiSchema	MainInformation	ui-label	Paper short name	Paper short name	Paper short name	Краткое наименование бумаги
UiSchema	MainInformation	ui-label	Information resource	Information resource	Information resource	Информационный ресурс
UiSchema	MainInformation	ui-label	ID / ISIN	ID / ISIN	ID / ISIN	ID / ISIN
UiSchema	MainInformation	ui-label	Is risk transfered to client	Is risk transfered to client	Is risk transfered to client	Риск актива передан на клиента
UiSchema	MainInformation	ui-label	Asset size	Asset size	Asset size	Максимальное количество Актива на клиенте
UiSchema	MainInformation	ui-label	currency	currency	currency	Валюта актива
UiSchema	MainInformation	ui-label	Acquisition Rate	Acquisition Rate	Acquisition Rate	Курс приобретения актива
UiSchema	MainInformation	ui-label	unitPurchasePrice	unitPurchasePrice	unitPurchasePrice	Цена покупки единицы с учетом НКД
UiSchema	MainInformation	ui-label	bondDenominationInCurrency	bondDenominationInCurrency	bondDenominationInCurrency	Номинал облигации, в валюте
UiSchema	MainInformation	ui-label	assetUnitPrice	assetUnitPrice	assetUnitPrice	Цена единицы актива
UiSchema	MainInformation	ui-label	endUnitPrice	endUnitPrice	endUnitPrice	Цена единицы на момент окончания
UiSchema	MainInformation	ui-label	term	term	term	Срок
UiSchema	MainInformation	ui-label	Correction factor	Correction factor	Correction factor	Поправочный коэффициент
UiSchema	MainInformation	ui-label	Coupon rate for the asset	Coupon rate for the asset	Coupon rate for the asset	Ставка купона по активу
UiSchema	MainInformation	ui-label	Asset maturity date	Asset maturity date	Asset maturity date	Дата погашения актива
