ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	Asset	actors	AssetEditor	AssetEditor	AssetEditor	Редактор Активов
DocumentFlowDefinition	AssetFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AssetFlow	states	states@Draft	Draft	Draft	Проект
DocumentConfiguration	Asset	rootConfiguration	Asset@Title	Asset	Asset	Актив
DocumentFlowDefinition	AssetFlow	transitions	transitions@Draft_To_Open@Title	Draft_To_Open	Draft_To_Open	Открыть
DocumentFlowDefinition	AssetFlow	transitions	transitions@Draft_To_Cancelled@Title	Draft_To_Cancelled	Draft_To_Cancelled	Отменить
DocumentFlowDefinition	AssetFlow	transitions	transitions@Open_To_Closed@Title	Open_To_Closed	Open_To_Closed	Закрыть
DocumentFlowDefinition	AssetFlow	transitions	transitions@Closed_To_Open@Title	Closed_To_Open	Closed_To_Open	Открыть
DocumentFlowDefinition	AssetFlow	states	states@Open	Open	Open	Открыт
DocumentFlowDefinition	AssetFlow	states	states@Closed	Closed	Closed	Закрыт
DocumentFlowDefinition	AssetFlow	states	states@Cancelled	Cancelled	Cancelled	Отменен
UiSchema	AssetMainContent	ui-label	Asset information	Asset information	Asset information	Основная информация
UiSchema	AssetMainContent	ui-label	Main Information	Main Information	Main Information	Основная информация
UiSchema	AssetMainContent	ui-label	Main Conditions	Main Conditions	Main Conditions	Условия
UiSchema	AssetMainContent	ui-label	Remaining limit	Remaining limit	Remaining limit	Остаток лимита
UiSchema	AssetMainContent	ui-label	Show available balance	Show available balance	Show available balance	Показать доступный остаток
UiSchema	AssetMainContent	ui-label	Available balance	Available balance	Available balance	Доступный остаток
UiSchema	AssetMainContent	ui-label	History	History	History	История
Rule	AssetValidationAsset	rule	validation@emptyIsRiskTransferedToClient	validationAsset	emptyIsRiskTransferedToClient	Необходимо заполнить поле "Риск актива передан на клиента"
Rule	AssetValidationAsset	rule	validation@emptyCurrency	validationAsset	emptyCurrency	Необходимо заполнить поле "Валюта актива"
Rule	AssetValidationAsset	rule	validation@emptyInformationResource	validationAsset	emptyInformationResource	Необходимо заполнить поле "Информационный ресурс"
Rule	AssetValidationAsset	rule	validation@emptyPaperShortName	validationAsset	emptyPaperShortName	Необходимо заполнить поле "Краткое наименование бумаги"
Rule	AssetValidationAsset	rule	validation@emptyIssuer	validationAsset	emptyIssuer	Необходимо заполнить поле "Эмитент"
Rule	AssetValidationAsset	rule	validation@emptyActiveType	validationAsset	emptyActiveType	Необходимо заполнить поле "Тип актива"
Rule	AssetValidationAsset	rule	validation@emptyIdIsin	validationAsset	emptyIdIsin	Необходимо заполнить поле "ID / ISIN"
Rule	AssetValidationAsset	rule	validation@emptyAssetSize	validationAsset	emptyAssetSize	Необходимо заполнить поле "Максимальное количество Актива на клиенте"
Rule	AssetValidationAsset	rule	validation@emptyUnitPurchasePrice	validationAsset	emptyUnitPurchasePrice	Необходимо заполнить поле "Цена покупки единицы с учетом НКД"
Rule	AssetValidationAsset	rule	validation@emptyBondDenominationInCurrency	validationAsset	emptyBondDenominationInCurrency	Необходимо заполнить поле "Номинал облигации, в валюте"
Rule	AssetValidationAsset	rule	validation@emptyAssetUnitPrice	validationAsset	emptyAssetUnitPrice	Необходимо заполнить поле "Цена единицы актива"
DocumentConfiguration	Asset	actors	AssetViewer	AssetViewer	AssetViewer	Просмотр активов
Rule	AssetValidationAsset	rule	validation@emptyTerm	validationAsset	emptyTerm	Необходимо заполнить поле "Срок"
UiSchema	AssetMainContent	ui-label	Show available balance rub	Show available balance rub	Show available balance rub	Показать доступный остаток, руб.
UiSchema	AssetMainContent	ui-label	Available balance rub	Available balance rub	Available balance rub	Лоступный остаток, руб.
UiSchema	AssetMainContent	ui-label	Asset entity	Asset entity	Asset entity	Предварительный расчет по Активу
Rule	AssetValidationAsset	rule	validation@duplicate	validationAsset	duplicate	Актив с таким счетом уже существует
Rule	AssetValidationAsset	rule	validation@assetMaturityDate	validationAsset	assetMaturityDate	Необходимо заполнить поле "Дата погашения актива"
