ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	AssetChangeAmendment	actors	AssetEditor	AssetEditor	AssetEditor	Редактор Активов
DocumentFlowDefinition	AssetChangeAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AssetChangeAmendmentFlow	states	states@Draft	Draft	Draft	Проект
UiSchema	AssetChangeAmendmentMainContent	ui-label	Asset information	Asset information	Asset information	Основная информация
UiSchema	AssetChangeAmendmentMainContent	ui-label	Main Information	Main Information	Main Information	Основная информация
UiSchema	AssetChangeAmendmentMainContent	ui-label	Main Conditions	Main Conditions	Main Conditions	Условия
UiSchema	AssetChangeAmendmentMainContent	ui-label	Remaining limit	Remaining limit	Remaining limit	Остаток лимита
UiSchema	AssetChangeAmendmentMainContent	ui-label	Show available balance	Show available balance	Show available balance	Показать доступный остаток
UiSchema	AssetChangeAmendmentMainContent	ui-label	Available balance	Available balance	Available balance	Доступный остаток
UiSchema	AssetChangeAmendmentMainContent	ui-label	History	History	History	История
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyIsRiskTransferedToClient	validationAsset	emptyIsRiskTransferedToClient	Необходимо заполнить поле "Риск актива передан на клиента"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyCurrency	validationAsset	emptyCurrency	Необходимо заполнить поле "Валюта актива"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyInformationResource	validationAsset	emptyInformationResource	Необходимо заполнить поле "Информационный ресурс"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyPaperShortName	validationAsset	emptyPaperShortName	Необходимо заполнить поле "Краткое наименование бумаги"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyIssuer	validationAsset	emptyIssuer	Необходимо заполнить поле "Эмитент"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyActiveType	validationAsset	emptyActiveType	Необходимо заполнить поле "Тип актива"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyIdIsin	validationAsset	emptyIdIsin	Необходимо заполнить поле "ID / ISIN"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyAssetSize	validationAsset	emptyAssetSize	Необходимо заполнить поле "Максимальное количество Актива на клиенте"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyUnitPurchasePrice	validationAsset	emptyUnitPurchasePrice	Необходимо заполнить поле "Цена покупки единицы с учетом НКД"
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyBondDenominationInCurrency	validationAsset	emptyBondDenominationInCurrency	Необходимо заполнить поле "Номинал облигации, в валюте"
DocumentConfiguration	AssetChangeAmendment	actors	AssetViewer	AssetViewer	AssetViewer	Просмотр активов
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyTerm	validationAsset	emptyTerm	Необходимо заполнить поле "Срок"
DocumentFlowDefinition	AssetChangeAmendmentFlow	transitions	transitions@DraftToAnnulled@Title	DraftToAnnulled	DraftToAnnulled	Аннулировать
DocumentFlowDefinition	AssetChangeAmendmentFlow	transitions	transitions@DraftToActivated@Title	DraftToActivated	DraftToActivated	Активировать
DocumentFlowDefinition	AssetChangeAmendmentFlow	transitions	transitions@ActivatedToAnnulled@Title	ActivatedToAnnulled	ActivatedToAnnulled	Аннулировать
DocumentFlowDefinition	AssetChangeAmendmentFlow	states	states@Activated	Activated	Activated	Активирован
DocumentFlowDefinition	AssetChangeAmendmentFlow	states	states@Annulled	Annulled	Annulled	Аннулирован
UiSchema	AssetChangeAmendmentMainContent	ui-label	Change Amendment	Change Amendment	Change Amendment	ДС на изменение
DocumentConfiguration	AssetChangeAmendment	rootConfiguration	AssetChangeAmendment@Title	AssetChangeAmendment	AssetChangeAmendment	ДС на изменение
Rule	AssetChangeAmendmentValidationAsset	rule	validation@emptyAmendmentStartDate	validationAsset	emptyAmendmentStartDate	Необходимо заполнить поле "Дата вступления изменений в силу"
UiSchema	AssetChangeAmendmentMainContent	ui-label	Show available balance rub	Show available balance rub	Show available balance rub	Показать доступный остаток, руб.
UiSchema	AssetChangeAmendmentMainContent	ui-label	Available balance rub	Available balance rub	Available balance rub	Лоступный остаток, руб.
