ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AssetSearchInlineView	actors	AssetEditor	AssetEditor	AssetEditor	Редактор Активов
ViewConfiguration	AssetSearchInlineView	actors	AssetViewer	AssetViewer	AssetViewer	Просмотр Активов
UiSchema	AssetSearchInlineViewFiltersContent	ui-label	Asset type	Asset type	Asset type	Тип актива
UiSchema	AssetSearchInlineViewFiltersContent	ui-label	Asset state	Asset state	Asset state	Статус актива
UiSchema	AssetSearchInlineViewFiltersContent	ui-label	ID/ISIN	ID/ISIN	ID / ISIN	ISIN
UiSchema	AssetSearchInlineViewFiltersContent	ui-label	paperShortName	paperShortName	paperShortName	Наименование бумаги
UiSchema	AssetSearchInlineViewResultsContent	ui-label	Asset number	Asset number	Asset number	Номер актива
UiSchema	AssetSearchInlineViewResultsContent	ui-label	Asset state description	Asset state description	Asset state description	Статус
UiSchema	AssetSearchInlineViewResultsContent	ui-label	activeType	activeType	activeType	Тип актива
UiSchema	AssetSearchInlineViewResultsContent	ui-label	idIsin	idIsin	idIsin	ID / ISIN
UiSchema	AssetSearchInlineViewResultsContent	ui-label	paperShortName	paperShortName	paperShortName	Краткое наименование бумаги
ViewConfiguration	AssetSearchInlineView	rootConfiguration	AssetSearchInlineView@Title	AssetSearchInlineView	AssetSearchInlineView	Журнал активов
