ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	ClaimContractSearchDataSourceInputSchema	enum	stateCode@Activated	Activated	Действует	Activated
DataSchema	ClaimContractSearchDataSourceInputSchema	enum	stateCode@CancelledByAmendment	CancelledByAmendment	Расторгнут	CancelledByAmendment
DataSchema	ClaimContractSearchDataSourceInputSchema	enum	stateCode@Active	Active	Подписан	Active
DataSchema	ClaimContractSearchDataSourceInputSchema	enum	contractType@Policy	Policy	Договор	Policy
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	number	number	Номер	number
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	stateCode	stateCode	Статус (код)	stateCode
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	stateCodeDescription	stateCodeDescription	Статус	stateCodeDescription
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	issueDate	issueDate	Дата заключения	issueDate
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	startDate	startDate	Дата начала	startDate
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	endDate	endDate	Дата окончания	endDate
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	policyHolderName	policyHolderName	Наименование страхователя	policyHolderName
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	productCode	productCode	Продукт (код)	productCode
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	productDescription	productDescription	Тип документа (код)	productDescription
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	productGroup	productGroup	Продукт	productGroup
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	productGroupDescription	productGroupDescription	Группа продуктов (код)	productGroupDescription
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	contractType	contractType	Группа продуктов	contractType
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	paymentFrequency	paymentFrequency	Периодичность оплаты	paymentFrequency
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	amount	amount	Размер взноса	amount
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	amountWithAllRisks	amountWithAllRisks	Взнос с учетом доп. рисков	amountWithAllRisks
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	initiatorName	initiatorName	Инициатор	initiatorName
DataSchema	ClaimContractSearchDataSourceResultSchema	field-title	initiatorOrganisationUnitName	initiatorOrganisationUnitName	Подразделение	initiatorOrganisationUnitName
DataSchema	ClaimContractSearchDataSourceInputSchema	field-title	stateCode	stateCode	Статус	stateCode
DataSchema	ClaimContractSearchDataSourceInputSchema	enum	stateCode@Completed	Completed	Завершен	Completed
