ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@Draft	Draft	Проект	Draft
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@ClaimManagerApproval	ClaimManagerApproval	На рассмотрении УУ	ClaimManagerApproval
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@RequestToClient	RequestToClient	Запрос клиенту	RequestToClient
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@LegalApproval	LegalApproval	На рассмотрении в юридическом управлении	LegalApproval
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@SecurityApproval	SecurityApproval	На рассмотрении в направлении экономической безопасности	SecurityApproval
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@ClaimDirectorApproval	ClaimDirectorApproval	На рассмотрении руководителя УУ	ClaimDirectorApproval
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@MethodologyDirectorApproval	MethodologyDirectorApproval	На рассмотрении директора по методологии	MethodologyDirectorApproval
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@POCreation	POCreation	Формирование РНВ	POCreation
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@SentToPayment	SentToPayment	Передано на выплату	SentToPayment
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@PartiallyPaid	PartiallyPaid	Частично оплачен	PartiallyPaid
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@Paid	Paid	Оплачен	Paid
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@Rejected	Rejected	Отказ	Rejected
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@RejectedByCommonReasons	RejectedByCommonReasons	Типовой отказ	RejectedByCommonReasons
DataSchema	ClaimFilterSearchDataSourceInputSchema	enum	documentState@Expired	Expired	Истек срок давности	Expired
