ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@Draft	Draft	Draft	Проект
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@RequestToClient	RequestToClient	RequestToClient	Запрос клиенту
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@LegalApproval	LegalApproval	LegalApproval	На рассмотрении в юридическом управлении
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@SecurityApproval	SecurityApproval	SecurityApproval	На рассмотрении в направлении экономической безопасности
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@ClaimDirectorApproval	ClaimDirectorApproval	ClaimDirectorApproval	На рассмотрении руководителя УУ
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@MethodologyDirectorApproval	MethodologyDirectorApproval	MethodologyDirectorApproval	На рассмотрении директора по методологии
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@SentToPayment	SentToPayment	SentToPayment	Передано на выплату
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@PartiallyPaid	PartiallyPaid	PartiallyPaid	Частично оплачен
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@Paid	Paid	Paid	Оплачен
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@Rejected	Rejected	Rejected	Отказ
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@RejectedByCommonReasons	RejectedByCommonReasons	RejectedByCommonReasons	Типовой отказ
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@Expired	Expired	Expired	Истек срок давности
DataSchema	ClaimSearchDataSourceResultSchema	enum	disabilityGroup@I	I	I	I
DataSchema	ClaimSearchDataSourceResultSchema	enum	disabilityGroup@II	II	II	II
DataSchema	ClaimSearchDataSourceResultSchema	enum	disabilityGroup@III	III	III	III
DataSchema	ClaimSearchDataSourceResultSchema	field-title	injuryDetails	injuryDetails	injuryDetails	Подробности повреждения
DataSchema	ClaimSearchDataSourceResultSchema	field-title	injuryCode	injuryCode	injuryCode	Код повреждения
DataSchema	ClaimSearchDataSourceResultSchema	field-title	riskInsuredSumByPeriod	riskInsuredSumByPeriod	riskInsuredSumByPeriod	Страховая сумма по риску за период
DataSchema	ClaimSearchDataSourceResultSchema	field-title	riskInsuredSum	riskInsuredSum	riskInsuredSum	Страховая сумма по риску
DataSchema	ClaimSearchDataSourceResultSchema	field-title	periodStartDate	periodStartDate	periodStartDate	Начало периода
DataSchema	ClaimSearchDataSourceResultSchema	field-title	periodEndDate	periodEndDate	periodEndDate	Окончание периода
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@ClaimManagerApproval	ClaimManagerApproval	ClaimManagerApproval	На рассмотрении УУ
DataSchema	ClaimSearchDataSourceInputSchema	enum	documentState@POCreation	POCreation	POCreation	Формирование РНВ
