ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@OperationsApproval	OperationsApproval	На рассмотрении группы ОПЕРУ	OperationsApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@OperationsDirectorApproval	OperationsDirectorApproval	На рассмотрении руководителя ОПЕРУ	OperationsDirectorApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@InsuranceMethodologyApproval	InsuranceMethodologyApproval	На рассмотрении в направлении методологии страхования	InsuranceMethodologyApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@ActuaryApproval	ActuaryApproval	На рассмотрении в направлении актуарных расчётов	ActuaryApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@ComplianceApproval	ComplianceApproval	На рассмотрении служба финансового мониторинга и комплаенс	ComplianceApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@CallCenterApproval	CallCenterApproval	На рассмотрении в Колл-центре	CallCenterApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@PartnerSalesSupportApproval	PartnerSalesSupportApproval	На рассмотрении в направлении поддержки партнёрских продаж	PartnerSalesSupportApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@ClientServiceApproval	ClientServiceApproval	На рассмотрении в направлении клиентского сервиса	ClientServiceApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@Cancelled	Cancelled	Отменено	Cancelled
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@SecurityApproval	SecurityApproval	На рассмотрении в направлении экономической безопасности	SecurityApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@LegalApproval	LegalApproval	На рассмотрении в юридическом управлении	LegalApproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@RequestToClient	RequestToClient	Запрос клиенту	RequestToClient
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@SentToPayment	SentToPayment	Передано на выплату	SentToPayment
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@Paid	Paid	Выплачено	Paid
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@Rejected	Rejected	Отказан	Rejected
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@DeputyDirectorAproval	DeputyDirectorAproval	На рассмотрении зам. ген. директора	DeputyDirectorAproval
DataSchema	GetEndowmentDataSourceInputSchema	enum	documentState@AccountingApproval	AccountingApproval	На рассмотрении бухгалтерии	AccountingApproval
