ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
Library	ClaimValidationHelper	library	validation@BeneficiariesWithoutBankAccountsError	claimValidationHelper	E: Отсутствуют банковские реквизиты на карточке получателей платежа: ${items}	E: Following beneficiaries don't have banks accounts data: ${items}
Library	ClaimValidationHelper	library	validation@BeneficiariesWithoutBankAccountsWarning	claimValidationHelper	W: Отсутствуют банковские реквизиты на карточке получателей платежа: ${items}	W: Following beneficiaries don't have banks accounts data: ${items}
Library	ClaimValidationHelper	library	validation@ErrorCheckingKPKFor	claimValidationHelper	E: Ошибка сервиса КПК при проверке участника ${participant}: ${participantName}	E: Error while checking ${participant}: ${participantName}
Library	ClaimValidationHelper	library	validation@KPKCheckNotPassedFor	claimValidationHelper	E: Проверка КПК не пройдена для участника ${participant}: ${participantName}	E: KPK check failed for ${participant}: ${participantName}
Library	ClaimValidationHelper	library	validation@invalidAgePassport	claimValidationHelper	E: Не действителен паспорт участника ${participant}: ${participantName}	E: Invalid passport ${participant}: ${participantName}
Library	ClaimValidationHelper	library	validation@unableToValidatePassport	claimValidationHelper	E: Не удалось проверить действительность паспорта для участника ${participant}: ${participantName}	E: Unable to check passport validity for ${participant}: ${participantName}
Library	ClaimValidationHelper	library	validation@BeneficiariesWithoutSelectedBankAccountsWarning	claimValidationHelper	W: Не указаны банковские реквизиты для получателей платежа: ${items}	W: Following beneficiaries don't have banks accounts selected: ${items}
Library	ClaimValidationHelper	library	validation@BeneficiariesWithoutSelectedBankAccountsError	claimValidationHelper	E: Не указаны банковские реквизиты для получателей платежа: ${items}	E: Following beneficiaries don't have banks accounts selected: ${items}
Library	ClaimGeneralHelper	ui-message	NoEndowmentSelected	claimGeneralHelper	Пожалуйста, укажите дожития/ДИД для изменения статуса	NoEndowmentSelected
Library	ClaimGeneralHelper	ui-message	EndowmentStatusChanged	claimGeneralHelper	Статус Дожитий/ДИД успешно изменён!	EndowmentStatusChanged
Library	ClaimGeneralHelper	ui-message	EndowmentStatusChangingFinishedWithErrors	claimGeneralHelper	Не удалось изменить статус следующих документов: {{documents}}	EndowmentStatusChangingFinishedWithErrors: {{documents}}
Library	ClaimValidationHelper	library	validation@requiredToCancelUnappliedPolicyAmendment	claimValidationHelper	E: На договоре присутствуют ДС в нефинальном статусе	E: validation@requiredToCancelUnappliedPolicyAmendment
Library	ClaimValidationHelper	library	validation@policyDontNotHaveAppliedVersion	claimValidationHelper	E: Договор находится в нефинальном статусе	E: validation@policyDontNotHaveAppliedVersion
