ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	CollectiveClaimImport	actors	ClaimManager	ClaimManager	Урегулирование убытков	ClaimManager
DocumentConfiguration	CollectiveClaimImport	actors	System	System	Система	System
DataSchema	CollectiveClaimImport	field-title	fileName	fileName	Имя файла	fileName
DocumentFlowDefinition	CollectiveClaimImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать загрузку	StartLoading
DocumentFlowDefinition	CollectiveClaimImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить загрузку	FinishLoading
DocumentFlowDefinition	CollectiveClaimImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Перезагрузить	StartReloading
DocumentFlowDefinition	CollectiveClaimImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	CollectiveClaimImportFlow	transitions	transitions@Reload@Title	Reload	Перезагрузка	Reload
DocumentFlowDefinition	CollectiveClaimImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончить импорт	FinishImporting
DocumentFlowDefinition	CollectiveClaimImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CollectiveClaimImportFlow	states	states@Draft	Draft	Подготовка к загрузке	Draft
DocumentFlowDefinition	CollectiveClaimImportFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	CollectiveClaimImportFlow	states	states@ReloadSetup	ReloadSetup	Подготовка к загрузке	ReloadSetup
DocumentFlowDefinition	CollectiveClaimImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	CollectiveClaimImportFlow	states	states@Importing	Importing	Импортирование	Importing
DocumentFlowDefinition	CollectiveClaimImportFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	CollectiveClaimImportUiSchemaDraft	ui-label	CollectiveClaimImportFile	CollectiveClaimImportFile	Источник	CollectiveClaimImportFile
UiSchema	CollectiveClaimImportUiSchemaDraft	ui-label	ImportInfo	ImportInfo	Файл	ImportInfo
UiSchema	CollectiveClaimImportUiSchemaDraft	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveClaimImportUiSchemaDraft	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	CollectiveClaimImportUiSchemaDraft	ui-label	Summary	Summary	Дополнительная информация	Summary
UiSchema	CollectiveClaimImportUiSchemaDraft	ui-label	Claim number	Claim number	Номер убытка	Claim number
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	CollectiveClaimImportFile	CollectiveClaimImportFile	Источник	CollectiveClaimImportFile
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	ImportInfo	ImportInfo	Файл	ImportInfo
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	CollectiveClaimImportLoaded	CollectiveClaimImportLoaded	Информация о загрузке	CollectiveClaimImportLoaded
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	LoadDataErrors	LoadDataErrors	Ошибки загрузки	LoadDataErrors
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	CollectiveClaimImportImported	CollectiveClaimImportImported	Информация об импорте	CollectiveClaimImportImported
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	ImportedData	ImportedData	Импортированные данные	ImportedData
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	FailedImportedData	FailedImportedData	Ошибки импорта	FailedImportedData
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	Summary	Summary	Дополнительная информация	Summary
UiSchema	CollectiveClaimImportUiSchemaImport	ui-label	Claim number	Claim number	Номер убытка	Claim number
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	CollectiveClaimImportFile	CollectiveClaimImportFile	Источник	CollectiveClaimImportFile
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	ImportInfo	ImportInfo	Файл	ImportInfo
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	CollectiveClaimImportLoaded	CollectiveClaimImportLoaded	Информация о загрузке	CollectiveClaimImportLoaded
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	LoadDataErrors	LoadDataErrors	Ошибки загрузки	LoadDataErrors
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	Summary	Summary	Дополнительная информация	Summary
UiSchema	CollectiveClaimImportUiSchemaLoad	ui-label	Claim number	Claim number	Номер убытка	Claim number
DocumentConfiguration	CollectiveClaimImport	rootConfiguration	CollectiveClaimImport@Title	CollectiveClaimImport	Импорт получателей	CollectiveClaimImport
