ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	EndowmentInquiry	actors	InquiryManager	InquiryManager	Ответственный	InquiryManager
DataSchema	EndowmentInquiry	field-title	department	department	Подразделение	department
DataSchema	EndowmentInquiry	field-title	textOfInquiry	textOfInquiry	Текст запроса	textOfInquiry
DataSchema	EndowmentInquiry	field-title	holder	holder	Страхователь	holder
DataSchema	EndowmentInquiry	field-title	contractNumber	contractNumber	Номер договора	contractNumber
DataSchema	EndowmentInquiry	field-title	contractConfigurationCodeName	contractConfigurationCodeName	Тип договора	contractConfigurationCodeName
DocumentFlowDefinition	EndowmentInquiryFlow	transitions	transitions@DraftIssued@Title	DraftIssued	Согласовано	DraftIssued
DocumentFlowDefinition	EndowmentInquiryFlow	transitions	transitions@DraftRejected@Title	DraftRejected	Не согласовано	DraftRejected
DocumentFlowDefinition	EndowmentInquiryFlow	transitions	transitions@DraftCancelled@Title	DraftCancelled	Отменен	DraftCancelled
DocumentFlowDefinition	EndowmentInquiryFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	EndowmentInquiryFlow	states	states@Draft	Draft	Создан	Draft
DocumentFlowDefinition	EndowmentInquiryFlow	states	states@Issued	Issued	Согласовано	Issued
DocumentFlowDefinition	EndowmentInquiryFlow	states	states@Rejected	Rejected	Не согласовано	Rejected
DocumentFlowDefinition	EndowmentInquiryFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
UiSchema	EndowmentInquiryMainContent	ui-label	Basic Conditions	Basic Conditions	Основные параметры	Basic Conditions
UiSchema	EndowmentInquiryMainContent	ui-label	department	department	Подразделение	department
UiSchema	EndowmentInquiryMainContent	ui-label	endowmentNumber	endowmentNumber	Номер дожития/ДИД	endowmentNumber
UiSchema	EndowmentInquiryMainContent	ui-label	textOfInquiry	textOfInquiry	Текст запроса	textOfInquiry
UiSchema	EndowmentInquiryMainContent	ui-label	inquiryReasonDescription	inquiryReasonDescription	Причина запроса	inquiryReasonDescription
Rule	EndowmentInquiryDraftCancelledTransitionRule	rule	validation@DraftCancelledOnlyCreator	DraftCancelled	E: Отмена доступна только создавшему запрос пользователю	E: validation@DraftCancelledOnlyCreator
Rule	EndowmentInquiryDraftIssuedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftIssued	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
Rule	EndowmentInquiryDraftRejectedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftRejected	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
DocumentConfiguration	EndowmentInquiry	rootConfiguration	EndowmentInquiry@Title	EndowmentInquiry	Запрос в Смежные Подразделения	EndowmentInquiry
DataSchema	EndowmentInquiry	field-title	endowmentNumber	endowmentNumber	Номер дожития/ДИД	endowmentNumber
DataSchema	EndowmentInquiry	field-title	endowmentId	endowmentId	Id дожития/ДИД	endowmentId
DataSchema	EndowmentInquiry	field-title	textOfAnswer	textOfAnswer	Текст ответа	textOfAnswer
DataSchema	EndowmentInquiry	field-title	textOfComment	textOfComment	Комментарий	textOfComment
UiSchema	EndowmentInquiryMainContent	ui-label	textOfAnswer	textOfAnswer	Текст ответа	textOfAnswer
UiSchema	EndowmentInquiryMainContent	ui-label	textOfComment	textOfComment	Комментарий	textOfComment
Rule	EndowmentInquiryDraftCancelledTransitionRule	rule	validation@DraftCancelledTextOfCommentRequired	DraftCancelled	E: Комментарий обязателен для заполнения	E: validation@DraftCancelledTextOfCommentRequired
