ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ClaimCommentsView	actors	General	General	Общий	General
ClientAction	ClaimCommentsViewArrayPrepareAddOperationHandler	ui-message	NotAllowedToInteractWithComments	arrayPrepareAddOperationHandler	Запрещено редактировать комментарии	arrayPrepareAddOperationHandler
ClientAction	ClaimCommentsViewArrayPrepareAddOperationHandler	ui-message	SaveFirst	arrayPrepareAddOperationHandler	Пожалуйста, сохраните документ	arrayPrepareAddOperationHandler
ClientAction	ClaimCommentsViewPreArrayOperationHandler	ui-message	CommentCannotBeEmpty	preArrayOperationHandler	Комментарий не может быть пустым	preArrayOperationHandler
ClientAction	ClaimCommentsViewPreArrayOperationHandler	ui-message	CommentLengthTooLong	preArrayOperationHandler	Слишком длинный текст комментария	preArrayOperationHandler
UiSchema	ClaimCommentsViewUiSchema	ui-label	Comments	Comments	Комментарии	Comments
UiSchema	ClaimCommentsViewUiSchema	ui-label	CommentMessage	CommentMessage	Текст комментария	CommentMessage
UiSchema	ClaimCommentsViewUiSchema	ui-label	CommentComment	CommentComment	Комментарий	CommentComment
UiSchema	ClaimCommentsViewUiSchema	ui-label	created	created	Создан	created
UiSchema	ClaimCommentsViewUiSchema	ui-label	edited	edited	Изменен	edited
ViewConfiguration	ClaimCommentsView	rootConfiguration	ClaimCommentsView@Title	ClaimCommentsView	Комментарии	ClaimCommentsView
