ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ClaimContractSearch	actors	General	General	Общий	General
ViewConfiguration	ClaimContractSearch	dataExport	PoliciesExport	PoliciesExport	Экспорт договоров	PoliciesExport
UiSchema	ClaimContractSearchFiltersContent	ui-label	number	number	Номер	number
UiSchema	ClaimContractSearchFiltersContent	ui-label	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
UiSchema	ClaimContractSearchFiltersContent	ui-label	issueDateFrom	issueDateFrom	Дата заключения от	issueDateFrom
UiSchema	ClaimContractSearchFiltersContent	ui-label	issueDateTo	issueDateTo	Дата заключения до	issueDateTo
UiSchema	ClaimContractSearchFiltersContent	ui-label	productGroupDescription	productGroupDescription	Группа продуктов	productGroupDescription
UiSchema	ClaimContractSearchFiltersContent	ui-label	productName	productName	Продукт	productName
UiSchema	ClaimContractSearchFiltersContent	ui-label	startDateFrom	startDateFrom	Дата начала от	startDateFrom
UiSchema	ClaimContractSearchFiltersContent	ui-label	startDateTo	startDateTo	Дата начала до	startDateTo
UiSchema	ClaimContractSearchFiltersContent	ui-label	policyHolder	policyHolder	Страхователь	policyHolder
UiSchema	ClaimContractSearchFiltersContent	ui-label	endDateFrom	endDateFrom	Дата окончания от	endDateFrom
UiSchema	ClaimContractSearchFiltersContent	ui-label	endDateTo	endDateTo	Дата окончания до	endDateTo
UiSchema	ClaimContractSearchFiltersContent	ui-label	initiator	initiator	Инициатор	initiator
UiSchema	ClaimContractSearchFiltersContent	ui-label	organisationUnit	organisationUnit	Подразделение	organisationUnit
UiSchema	ClaimContractSearchFiltersContent	ui-label	includeChildren	includeChildren	С учетом дочерних	includeChildren
UiSchema	ClaimContractSearchFiltersContent	ui-label	State code	State code	Статус	State code
UiSchema	ClaimContractSearchResultsContent	ui-label	entityId	entityId	Номер	entityId
UiSchema	ClaimContractSearchResultsContent	ui-label	productName	productName	Продукт	productName
UiSchema	ClaimContractSearchResultsContent	ui-label	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
UiSchema	ClaimContractSearchResultsContent	ui-label	stateCodeDescription	stateCodeDescription	Статус	stateCodeDescription
UiSchema	ClaimContractSearchResultsContent	ui-label	issueDate	issueDate	Дата заключения	issueDate
UiSchema	ClaimContractSearchResultsContent	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	ClaimContractSearchResultsContent	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	ClaimContractSearchResultsContent	ui-label	policyHolderName	policyHolderName	Наименование страхователя	policyHolderName
UiSchema	ClaimContractSearchResultsContent	ui-label	paymentFrequency	paymentFrequency	Периодичность оплаты	paymentFrequency
UiSchema	ClaimContractSearchResultsContent	ui-label	amount	amount	Размер взноса	amount
UiSchema	ClaimContractSearchResultsContent	ui-label	amountWithAllRisks	amountWithAllRisks	Взнос с учетом доп. рисков	amountWithAllRisks
UiSchema	ClaimContractSearchResultsContent	ui-label	initiatorName	initiatorName	Инициатор	initiatorName
UiSchema	ClaimContractSearchResultsContent	ui-label	initiatorOrganisationUnitName	initiatorOrganisationUnitName	Подразделение	initiatorOrganisationUnitName
ViewConfiguration	ClaimContractSearch	rootConfiguration	ClaimContractSearch@Title	ClaimContractSearch	Поиск договора	ClaimContractSearch
