ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	claimNumber	claimNumber	Номер убытка	claimNumber
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	insuredEventNumber	insuredEventNumber	Номер страхового события	insuredEventNumber
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	activityDateFrom	activityDateFrom	На рассмотрении с	activityDateFrom
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	activityDateDateTo	activityDateDateTo	На рассмотрении по	activityDateDateTo
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	statementApplicationDateFrom	statementApplicationDateFrom	Дата написания заявления с	statementApplicationDateFrom
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	statementApplicationDateTo	statementApplicationDateTo	Дата написания заявления по	statementApplicationDateTo
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	insuredEventDateFrom	insuredEventDateFrom	Дата страхового события с	insuredEventDateFrom
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	insuredEventDateTo	insuredEventDateTo	Дата страхового события по	insuredEventDateTo
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	productGroup	productGroup	Группа продуктов	productGroup
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	insuranceProduct	insuranceProduct	Продукт	insuranceProduct
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	Claim number	Claim number	Номер убытка	Claim number
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	activityDate	activityDate	Дата поступления на рассмотрение	activityDate
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	riskName	riskName	Риск	riskName
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	applicationDate	applicationDate	Дата написания заявления	applicationDate
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	insuredEventNumber	insuredEventNumber	Номер страхового события	insuredEventNumber
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	insuredEventDate	insuredEventDate	Дата страхового события	insuredEventDate
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	productName	productName	Продукт	productName
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	productGroup	productGroup	Группа продуктов	productGroup
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	policyHolderName	policyHolderName	Страхователь	policyHolderName
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	amountInDocCurrency	amountInDocCurrency	Сумма выплаты (в валюте договора)	amountInDocCurrency
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	docCurrencyCode	docCurrencyCode	Валюта договора	docCurrencyCode
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	amountInRubCurrency	amountInRubCurrency	Сумма выплаты (в рублях)	amountInRubCurrency
ViewConfiguration	ClaimsReadyForPaymentSearchView	rootConfiguration	ClaimsReadyForPaymentSearchView@Title	ClaimsReadyForPaymentSearchView	Поиск	ClaimsReadyForPaymentSearchView
ViewConfiguration	ClaimsReadyForPaymentSearchView	actors	ClaimDirector	ClaimDirector	УУ - руководитель	ClaimDirector
ViewConfiguration	ClaimsReadyForPaymentSearchView	actors	MethodologyDirector	MethodologyDirector	Директор по методологии	MethodologyDirector
UiSchema	ClaimsReadyForPaymentSearchViewResultsContent	ui-label	sendClaimsToPayment	sendClaimsToPayment	Передать на выплату	sendClaimsToPayment
UiSchema	ClaimsReadyForPaymentSearchViewFiltersContent	ui-label	policyHolder	policyHolder	Страхователь	policyHolder
