ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	CollectiveClaimImportLoadFromExcel	actors	ClaimManager	ClaimManager	Урегулирование убытков	ClaimManager
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	importRowNumber	importRowNumber	Номер строки	importRowNumber
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	fullName	fullName	ФИО	fullName
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	birthDate	birthDate	Застрахованный Дата рождения	birthDate
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	amount	amount	Общая сумма	amount
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	franchise	franchise	Франшиза	franchise
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	totalAmount	totalAmount	Итого к выплате	totalAmount
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	serviceDescription	serviceDescription	Наименование услуги	serviceDescription
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	serviceProviderName	serviceProviderName	Наименование ЛПУ	serviceProviderName
ViewConfiguration	CollectiveClaimImportLoadFromExcel	rootConfiguration	CollectiveClaimImportLoadFromExcel@Title	CollectiveClaimImportLoadFromExcel	Загрузка данных из файла	CollectiveClaimImportLoadFromExcel
UiSchema	CollectiveClaimImportLoadFromExcelUiSchema	ui-label	registryEventDate	registryEventDate	Дата убытка по реестру	registryEventDate
