ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	CollectiveClaimImportSuccess	actors	ClaimManager	ClaimManager	Урегулирование убытков	ClaimManager
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	importRowNumber	importRowNumber	Номер строки	importRowNumber
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	fullName	fullName	ФИО	fullName
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	birthDate	birthDate	Застрахованный Дата рождения	birthDate
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	amount	amount	Общая сумма	amount
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	franchise	franchise	Франшиза	franchise
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	totalAmount	totalAmount	Итого к выплате	totalAmount
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	serviceDescription	serviceDescription	Наименование услуги	serviceDescription
UiSchema	CollectiveClaimImportSuccessUiSchema	ui-label	serviceProviderName	serviceProviderName	Наименование ЛПУ	serviceProviderName
ViewConfiguration	CollectiveClaimImportSuccess	rootConfiguration	CollectiveClaimImportSuccess@Title	CollectiveClaimImportSuccess	Импортрованные данные	CollectiveClaimImportSuccess
