ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	GeneralEndowmentSearchView	actors	General	General	Общий	General
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	documentCode	documentCode	Номер дожития	documentCode
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	risk	risk	Риск	risk
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	documentState	documentState	Статус	documentState
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	statementReceivedDateFrom	statementReceivedDateFrom	Дата поступления заявления в Общество с	statementReceivedDateFrom
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	statementReceivedDateTo	statementReceivedDateTo	Дата поступления заявления в Общество по	statementReceivedDateTo
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	statementApplicationDateFrom	statementApplicationDateFrom	Дата написания заявления клиентом с	statementApplicationDateFrom
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	statementApplicationDateTo	statementApplicationDateTo	Дата написания заявления клиентом по	statementApplicationDateTo
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	applicant	applicant	Заявитель	applicant
UiSchema	GeneralEndowmentSearchViewResultsContent	ui-label	Endowment number	Endowment number	Номер дожития	Endowment number
UiSchema	GeneralEndowmentSearchViewResultsContent	ui-label	Contract number	Contract number	Номер договора	Contract number
UiSchema	GeneralEndowmentSearchViewResultsContent	ui-label	State	State	Статус	State
UiSchema	GeneralEndowmentSearchViewResultsContent	ui-label	Insured event date	Insured event date	Дата события	Insured event date
ViewConfiguration	GeneralEndowmentSearchView	rootConfiguration	GeneralEndowmentSearchView@Title	GeneralEndowmentSearchView	Поиск дожитий	GeneralEndowmentSearchView
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	eventDateFrom	eventDateFrom	Дата события с	eventDateFrom
UiSchema	GeneralEndowmentSearchViewFiltersContent	ui-label	eventDateTo	eventDateTo	Дата события по	eventDateTo
