ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	GeneralInsuredEventSearchView	actors	General	General	Общий	General
UiSchema	GeneralInsuredEventSearchViewFiltersContent	ui-label	documentCode	documentCode	Номер страхового события	documentCode
UiSchema	GeneralInsuredEventSearchViewFiltersContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	GeneralInsuredEventSearchViewFiltersContent	ui-label	documentState	documentState	Статус	documentState
UiSchema	GeneralInsuredEventSearchViewFiltersContent	ui-label	insuredEventDateFrom	insuredEventDateFrom	Дата страхового события с	insuredEventDateFrom
UiSchema	GeneralInsuredEventSearchViewFiltersContent	ui-label	insuredEventDateTo	insuredEventDateTo	Дата страхового события по	insuredEventDateTo
UiSchema	GeneralInsuredEventSearchViewResultsContent	ui-label	documentNumber	documentNumber	Номер страхового события	documentNumber
UiSchema	GeneralInsuredEventSearchViewResultsContent	ui-label	Contract number	Contract number	Номер договора	Contract number
UiSchema	GeneralInsuredEventSearchViewResultsContent	ui-label	State	State	Статус	State
UiSchema	GeneralInsuredEventSearchViewResultsContent	ui-label	Insured event date	Insured event date	Дата страхового события	Insured event date
ViewConfiguration	GeneralInsuredEventSearchView	rootConfiguration	GeneralInsuredEventSearchView@Title	GeneralInsuredEventSearchView	Поиск страховых событий	GeneralInsuredEventSearchView
