ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	InjuriesSearchView	actors	General	General	Общий	General
UiSchema	InjuriesSearchViewFiltersContent	ui-label	injuryGroup	injuryGroup	Группа повреждений	injuryGroup
UiSchema	InjuriesSearchViewFiltersContent	ui-label	injurySubgroup	injurySubgroup	Подгруппа повреждений	injurySubgroup
UiSchema	InjuriesSearchViewResultsContent	ui-label	injuryCode	injuryCode	Код повреждения	injuryCode
UiSchema	InjuriesSearchViewResultsContent	ui-label	injuryDescription	injuryDescription	Описание повреждения	injuryDescription
ViewConfiguration	InjuriesSearchView	rootConfiguration	InjuriesSearchView@Title	InjuriesSearchView	Поиск повреждений	InjuriesSearchView
UiSchema	InjuriesSearchViewFiltersContent	ui-label	insuranceRule	insuranceRule	Правило страхования	insuranceRule
UiSchema	InjuriesSearchViewFiltersContent	ui-label	injurySubSubgroup	injurySubSubgroup	Подподгруппа	injurySubSubgroup
UiSchema	InjuriesSearchViewFiltersContent	ui-label	injurySubSubSubgroup	injurySubSubSubgroup	Подподподгруппа	injurySubSubSubgroup
UiSchema	InjuriesSearchViewFiltersContent	ui-label	description	description	Описание	description
UiSchema	InjuriesSearchViewFiltersContent	ui-label	note	note	Примечание	note
