ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
MasterEntityConfiguration	AgencyInfo	rootConfiguration	AgencyInfo@Title	AgencyInfo	Агентство	AgencyInfo
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002957939@description	description	"МЫТИЩИ, АГЕНТСТВО ""СЕВЕР"" ДОП.ОФИС Г. МЫТИЩИ"	"МЫТИЩИ, АГЕНТСТВО ""СЕВЕР"" ДОП.ОФИС Г. МЫТИЩИ"
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002957945@description	description	"ОДИНЦОВО, АГЕНТСТВО ""СЕВЕР"" ДОП.ОФИС Г. ОДИНЦОВО"	"ОДИНЦОВО, АГЕНТСТВО ""СЕВЕР"" ДОП.ОФИС Г. ОДИНЦОВО"
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002957952@description	description	"ПОДОЛЬСК, АГЕНТСТВО ""ЮГ"" ДОП.ОФИС Г. ПОДОЛЬСК"	"ПОДОЛЬСК, АГЕНТСТВО ""ЮГ"" ДОП.ОФИС Г. ПОДОЛЬСК"
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002957967@description	description	КРАСНОЯРСК, АГЕНТСТВО В Г. КРАСНОЯРСК	КРАСНОЯРСК, АГЕНТСТВО В Г. КРАСНОЯРСК
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002957969@description	description	ВОЛГОГРАД, АГЕНТСТВО В Г. ВОЛГОГРАД	ВОЛГОГРАД, АГЕНТСТВО В Г. ВОЛГОГРАД
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002957994@description	description	НОВОСИБИРСК, АГЕНТСТВО В Г. НОВОСИБИРСК	НОВОСИБИРСК, АГЕНТСТВО В Г. НОВОСИБИРСК
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002958089@description	description	ЧЕЛЯБИНСК, АГЕНТСТВО В Г. ЧЕЛЯБИНСК	ЧЕЛЯБИНСК, АГЕНТСТВО В Г. ЧЕЛЯБИНСК
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002958098@description	description	ЕКАТЕРИНБУРГ, АГЕНТСТВО В Г. ЕКАТЕРИНБУРГ	ЕКАТЕРИНБУРГ, АГЕНТСТВО В Г. ЕКАТЕРИНБУРГ
DataSchema	AgencyInfo	localized-field	AgencyInfo@0002958134@description	description	"РОСТОВ-НА-ДОНУ, АГЕНТСТВО В Г. РОСТОВ-НА-ДОНУ ООО ""СК ""ЭРГО ЖИЗНЬ"""	"РОСТОВ-НА-ДОНУ, АГЕНТСТВО В Г. РОСТОВ-НА-ДОНУ ООО ""СК ""ЭРГО ЖИЗНЬ"""
