ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
MasterEntityConfiguration	CbAgentType	rootConfiguration	CbAgentType@Title	CbAgentType	Тип агента ЦБ	CbAgentType
DataSchema	CbAgentType	localized-field	CbAgentType@001@description	description	Страховые организации	Страховые организации
DataSchema	CbAgentType	localized-field	CbAgentType@002@description	description	Страховые брокеры	Страховые брокеры
DataSchema	CbAgentType	localized-field	CbAgentType@003@description	description	Кредитные организации	Кредитные организации
DataSchema	CbAgentType	localized-field	CbAgentType@004@description	description	Организации, осуществляющие деятельность по торговле транспортными средствами, а также их техническое обслуживание и ремонт	Организации, осуществляющие деятельность по торговле транспортными средствами, а также их техническое обслуживание и ремонт
DataSchema	CbAgentType	localized-field	CbAgentType@005@description	description	Туроператоры, турагентства	Туроператоры, турагентства
DataSchema	CbAgentType	localized-field	CbAgentType@006@description	description	Объекты почтовой связи	Объекты почтовой связи
DataSchema	CbAgentType	localized-field	CbAgentType@007@description	description	Медицинские организации	Медицинские организации
DataSchema	CbAgentType	localized-field	CbAgentType@008@description	description	Лизинговые компании	Лизинговые компании
DataSchema	CbAgentType	localized-field	CbAgentType@009@description	description	Юридические лица, основным видом экономической деятельности которых является деятельность страховых агентов	Юридические лица, основным видом экономической деятельности которых является деятельность страховых агентов
DataSchema	CbAgentType	localized-field	CbAgentType@010@description	description	Другие юридические лица	Другие юридические лица
DataSchema	CbAgentType	localized-field	CbAgentType@011@description	description	Физические лица (в том числе индивидуальные предприниматели)	Физические лица (в том числе индивидуальные предприниматели)
