ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	CollectiveLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CollectiveLifeInsurancePolicy	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	CollectiveLifeInsurancePolicy	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	CollectiveLifeInsurancePolicy	DocumentConfiguration	System	Add
Administrator	Allow Actor	CollectiveLifeInsurancePolicyImportTemplate	DocumentConfiguration	Administrator	Add
General	Allow Actor	AdditionalServicesView	ViewConfiguration	General	Add
General	Allow Actor	CollectiveLifeInsurancePolicyImport	DocumentConfiguration	General	Add
System	Allow Actor	CollectiveLifeInsurancePolicyImport	DocumentConfiguration	System	Add
General	Allow Actor	CollectiveLifeInsurancePolicyWithOutTarificationImport	DocumentConfiguration	General	Add
System	Allow Actor	CollectiveLifeInsurancePolicyWithOutTarificationImport	DocumentConfiguration	System	Add
General	Allow Actor	CollectiveLifeInsurancePolicyImportFail	ViewConfiguration	General	Add
General	Allow Actor	CollectiveLifeInsurancePolicyImportLoadFromExcel	ViewConfiguration	General	Add
General	Allow Actor	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcel	ViewConfiguration	General	Add
General	Allow Actor	CollectiveLifeInsurancePolicyImportSuccess	ViewConfiguration	General	Add
General	Allow Actor	CollectiveLifeInsurancePolicyWithOutTarificationImportSuccess	ViewConfiguration	General	Add
ServiceExecutor	Execute Service	CollectiveLifeInsurancePolicyImportEtlService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	CollectiveLifeInsuranceCalcPremiumEtlService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ClearCollectivePolicyPremiumIS	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ClearCollectivePolicyInsuredListIS	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	CollectiveLifeInsuranceCreateNaturalPersonEtlService	EtlServiceConfiguration	*	Add
OperationsGroup	Allow Actor	CollectiveLifeInsurancePolicy	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	InsuredListView	ViewConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	CollectiveLifeInsurancePolicy	DocumentConfiguration	Underwriter	Add
UnderwritingGroup	Allow Actor	InsuredListView	ViewConfiguration	Underwriter	Add
ServiceExecutor	Execute Service	CollectiveLifeInsuranceCancelInquiryEtlService	EtlServiceConfiguration	*	Add
General	Execute Service	CollectiveLifeInsurancePolicyImportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CollectiveLifeInsurancePolicyImportGetTemplateDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CollectiveLifeInsurancePolicyWithOutTarificationImportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CollectivePolicyGetSummaryRiskDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CollectivePolicyInsuredListCountDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CollectivePolicyInsuredListDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CollectiveLifeInsurancePolicyExportExcel	DataExportConfiguration	*	Add
