ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@wrongGender	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Неподдерживаемое значение для колонки Пол. Поддерживаются следующие значения в независимости от регистра: F/M, М/Ж, МУЖ/ЖЕН, мужской/женский	E: wrongGender
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@wrongBirthDayDateFormat	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Неподдерживаемый формат даты для колонки Дата рождения. Поддерживаются следующие форматы: ДД.ММ.ГГГГ и ГГГГ-ММ-ДД, где Д - день, М - месяц, Г - год	E: wrongBirthDayDateFormat
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@wrongAmountFormat	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Страховая сумма - должно быть указано число	E: wrongAmountFormat
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@wrongPremiumFormat	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Страховая премия - должно быть указано число	E: wrongPremiumFormat
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@surNameIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указана Фамилия	E: surNameIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@firstNameIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указано Имя	E: firstNameIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@birthDayIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указана Дата рождения	E: birthDayIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@genderIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указан Пол	E: genderIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@mobileIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указан Мобильный телефон	E: mobileIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@amountIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указана Страховая сумма	E: amountIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@premiumIsEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Не указан Страховой взнос	E: premiumIsEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@amountIsNotEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Для данного продукта Страховая сумма должна быть пустой	E: amountIsNotEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@premiumIsNotEmpty	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Для данного продукта Страховой взнос должен быть пустой	E: premiumIsNotEmpty
Rule	CollectiveLifeInsurancePolicyImportDataSourceCollectiveLifeInsurancePolicyImportResultMappingValidation	rule	validation@wrongMobile	CollectiveLifeInsurancePolicyImportResultMappingValidation	E: Неподдерживаемый формат даты для колонки Мобильный телефон	E: wrongMobile
