ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@Active	Active	Подписан	Active
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@Cancelled	Cancelled	Отменён	Cancelled
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@CancelledByAmendment	CancelledByAmendment	Расторгнут	CancelledByAmendment
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@Completed	Completed	Завершён	Completed
UiSchema	CollectiveLifeInsurancePolicyMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	CollectiveLifeInsurancePolicyMainContent	ui-label	History	History	История	History
DocumentConfiguration	CollectiveLifeInsurancePolicy	rootConfiguration	CollectiveLifeInsurancePolicy@Title	CollectiveLifeInsurancePolicy	Коллективный договор	CollectiveLifeInsurancePolicy
DocumentConfiguration	CollectiveLifeInsurancePolicy	actors	Operations	Operations	ОПЕРУ	Operations
UiSchema	CollectiveLifeInsurancePolicyMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	CollectiveLifeInsurancePolicyMainContent	ui-label	Insured list	Insured list	Список застрахованных	Insured list
DocumentConfiguration	CollectiveLifeInsurancePolicy	actors	System	System	System	System
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Draft_To_PremiumCalculating@Title	Draft_To_PremiumCalculating	Рассчитать премию	Draft_To_PremiumCalculating
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@PremiumCalculating_To_Draft@Title	PremiumCalculating_To_Draft	Проект	PremiumCalculating_To_Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	states	states@PremiumCalculating	PremiumCalculating	Расчёт премии	PremiumCalculating
Rule	CollectiveLifeInsurancePolicyDraft_To_PremiumCalculatingTransitionRule	rule	validation@PremiumCalculating_Not_Available	Draft_To_PremiumCalculating	E: Для расчета премии должны быть пройдены все валидации и загружен список застрахованных	E: PremiumCalculating_Not_Available
UiSchema	CollectiveLifeInsurancePolicyMainContent	ui-label	PaymentPlan	PaymentPlan	График оплаты	PaymentPlan
DocumentConfiguration	CollectiveLifeInsurancePolicy	actors	Underwriter	Underwriter	Андеррайтер	Underwriter
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active@Title	Draft_to_Active	Проект -> Подписан	Draft_to_Active
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Проект -> Отменён	Draft_to_Cancelled
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Active_to_Draft@Title	Active_to_Draft	Подписан -> Проект	Active_to_Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Activated_to_Draft@Title	Activated_to_Draft	Действует -> Проект	Activated_to_Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Cancelled_to_Draft@Title	Cancelled_to_Draft	Отменён -> Проект	Cancelled_to_Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled@Title	Active_to_Cancelled	Подписан -> Отменён	Active_to_Cancelled
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Active_to_Activated@Title	Active_to_Activated	Подписан -> Действует	Active_to_Activated
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Activated_to_CancelledByAmendment@Title	Activated_to_CancelledByAmendment	Действует -> Расторгнут	Activated_to_CancelledByAmendment
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@Activated_to_Completed@Title	Activated_to_Completed	Действует -> Завершён	Activated_to_Completed
DocumentFlowDefinition	CollectiveLifeInsurancePolicyFlow	transitions	transitions@CancelledByAmendment_to_Draft@Title	CancelledByAmendment_to_Draft	Расторгнут -> Проект	CancelledByAmendment_to_Draft
Rule	CollectiveLifeInsurancePolicyValidationCollectiveLifeInsurancePolicy	rule	validation@premiumCalculatingRequired	validationCollectiveLifeInsurancePolicy	E: Необходимо рассчитать премию по всем застрахованным	E: premiumCalculatingRequired
UiSchema	CollectiveLifeInsurancePolicyMainContent	ui-label	allocations	allocations	Связанные платежи	allocations
