ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentFlowDefinition	CollectiveLifeInsurancePolicyImportTemplateFlow	transitions	transitions@Draft_to_Confirmed@Title	Draft_to_Confirmed	Подтвердить	Draft_to_Confirmed
DocumentFlowDefinition	CollectiveLifeInsurancePolicyImportTemplateFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CollectiveLifeInsurancePolicyImportTemplateFlow	states	states@Draft	Draft	Новый	Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyImportTemplateFlow	states	states@Confirmed	Confirmed	Подтверждён	Confirmed
DocumentConfiguration	CollectiveLifeInsurancePolicyImportTemplate	rootConfiguration	CollectiveLifeInsurancePolicyImportTemplate@Title	CollectiveLifeInsurancePolicyImportTemplate	Шаблон списка застрахованных	CollectiveLifeInsurancePolicyImportTemplate
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
Rule	CollectiveLifeInsurancePolicyImportTemplateCollectiveLifeInsurancePolicyImportTemplateValidation	rule	validation@fileIsEmpty	CollectiveLifeInsurancePolicyImportTemplateValidation	E: Не загружен шаблон	E: File is empty
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	Notifications	Notifications	Проверки и ошибки	Notifications
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	Summary	Summary	Общая информация	Summary
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	Create date	Create date	Дата создания	Create date
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	Created by	Created by	Кем создан	Created by
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	Confirm date	Confirm date	Дата подтверждения	Confirm date
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	Confirmed by	Confirmed by	Кем подтверждён	Confirmed by
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	CollectiveLifeInsurancePolicyImportTemplate	CollectiveLifeInsurancePolicyImportTemplate	Шаблон списка застрахованных	CollectiveLifeInsurancePolicyImportTemplate
DocumentConfiguration	CollectiveLifeInsurancePolicyImportTemplate	actors	Administrator	Administrator	Администратор	Administrator
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	partner	partner	Партнёр	partner
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	insuranceProduct	insuranceProduct	Страховой продукт	insuranceProduct
Rule	CollectiveLifeInsurancePolicyImportTemplateCollectiveLifeInsurancePolicyImportTemplateValidation	rule	validation@partnerIsEmpty	CollectiveLifeInsurancePolicyImportTemplateValidation	E: Не указан партнёр	E: partnerIsEmpty
Rule	CollectiveLifeInsurancePolicyImportTemplateCollectiveLifeInsurancePolicyImportTemplateValidation	rule	validation@insuranceProductIsEmpty	CollectiveLifeInsurancePolicyImportTemplateValidation	E: Не указан продукт	E: insuranceProductIsEmpty
UiSchema	CollectiveLifeInsurancePolicyImportTemplateUiSchemaImportTemplate	ui-label	withTarification	withTarification	С тарификацией	withTarification
