ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImport	actors	System	System	Система	System
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать загрузку	StartLoading
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить загрузку	FinishLoading
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Начать перезагрузку	StartReloading
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	transitions	transitions@Reload@Title	Reload	Перезагрузить	Reload
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончить импорт	FinishImporting
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	states	states@Draft	Draft	Новый	Draft
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	states	states@Loading	Loading	Загружается	Loading
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	states	states@ReloadSetup	ReloadSetup	Перезагрузка	ReloadSetup
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	states	states@Importing	Importing	Импортируется	Importing
DocumentFlowDefinition	CollectiveLifeInsurancePolicyWithOutTarificationImportFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	LoadDataErrors	LoadDataErrors	Ошибки при загрузке	LoadDataErrors
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	ImportedData	ImportedData	Импортированные данные	ImportedData
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	FailedImportedData	FailedImportedData	Ошибки при импорте	FailedImportedData
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	LoadDataErrors	LoadDataErrors	Ошибки при загрузке	LoadDataErrors
DocumentConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImport	rootConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImport@Title	CollectiveLifeInsurancePolicyWithOutTarificationImport	Загрузка списка застрахованных	CollectiveLifeInsurancePolicyWithOutTarificationImport
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	Contract number	Contract number	Номер договора	Contract number
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	Summary	Summary	Общая информация	Summary
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	Summary	Summary	Общая информация	Summary
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	Contract number	Contract number	Номер договора	Contract number
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	Summary	Summary	Общая информация	Summary
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	Contract number	Contract number	Номер договора	Contract number
DataSchema	CollectiveLifeInsurancePolicyWithOutTarificationImport	field-title	fileName	fileName	Название файла	File name
DocumentConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImport	actors	General	General	General	General
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	CollectiveLifeInsurancePolicyImportFile	CollectiveLifeInsurancePolicyImportFile	Выбор файла	CollectiveLifeInsurancePolicyImportFile
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	CollectiveLifeInsurancePolicyImportFile	CollectiveLifeInsurancePolicyImportFile	Выбор файла	CollectiveLifeInsurancePolicyImportFile
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	CollectiveLifeInsurancePolicyImportLoaded	CollectiveLifeInsurancePolicyImportLoaded	Информация о загрузке	CollectiveLifeInsurancePolicyImportLoaded
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaImport	ui-label	CollectiveLifeInsurancePolicyImportImported	CollectiveLifeInsurancePolicyImportImported	Информация о загрузке	CollectiveLifeInsurancePolicyImportImported
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	CollectiveLifeInsurancePolicyImportFile	CollectiveLifeInsurancePolicyImportFile	Выбор файла	CollectiveLifeInsurancePolicyImportFile
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaLoad	ui-label	CollectiveLifeInsurancePolicyImportLoaded	CollectiveLifeInsurancePolicyImportLoaded	Информация о загрузке	CollectiveLifeInsurancePolicyImportLoaded
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportUiSchemaDraft	ui-label	Download template	Download template	Скачать шаблон	Download template
