ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	importRowNumber	importRowNumber	Номер строки	importRowNumber
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	fullName	fullName	Ф.И.О.	fullName
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	surName	surName	Фамилия	surName
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	firstName	firstName	Имя	firstName
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	middleName	middleName	Отчество	middleName
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	birthDay	birthDay	Дата рождения	birthDay
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	gender	gender	Пол	gender
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	mobile	mobile	Мобильный телефон	mobile
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	amount	amount	Страховая сумма	amount
UiSchema	CollectiveLifeInsurancePolicyImportLoadFromExcelUiSchema	ui-label	premium	premium	Страховой взнос	premium
ViewConfiguration	CollectiveLifeInsurancePolicyImportLoadFromExcel	rootConfiguration	CollectiveLifeInsurancePolicyImportLoadFromExcel@Title	CollectiveLifeInsurancePolicyImportLoadFromExcel	Загруженные данные	CollectiveLifeInsurancePolicyImportLoadFromExcel
ViewConfiguration	CollectiveLifeInsurancePolicyImportLoadFromExcel	actors	General	General	General	General
