ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	importRowNumber	importRowNumber	Номер строки	importRowNumber
ViewConfiguration	CollectiveLifeInsurancePolicyImportSuccess	rootConfiguration	CollectiveLifeInsurancePolicyImportSuccess@Title	CollectiveLifeInsurancePolicyImportSuccess	Импортированные данные	CollectiveLifeInsurancePolicyImportSuccess
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	surName	surName	Фамилия	surName
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	firstName	firstName	Имя	firstName
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	middleName	middleName	Отчество	middleName
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	birthDay	birthDay	Дата рождения	birthDay
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	gender	gender	Пол	gender
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	mobile	mobile	Мобильный телефон	mobile
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	amount	amount	Страховая сумма	amount
UiSchema	CollectiveLifeInsurancePolicyImportSuccessUiSchema	ui-label	premium	premium	Страховой взнос	premium
ViewConfiguration	CollectiveLifeInsurancePolicyImportSuccess	actors	General	General	General	General
