ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcel	actors	General	General	General	General
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	importRowNumber	importRowNumber	Номер строки	importRowNumber
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	fullName	fullName	Ф.И.О.	fullName
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	surName	surName	Фамилия	surName
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	firstName	firstName	Имя	firstName
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	middleName	middleName	Отчество	middleName
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	birthDay	birthDay	Дата рождения	birthDay
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	gender	gender	Пол	gender
ViewConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcel	rootConfiguration	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcel@Title	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcel	Загруженные данные	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcel
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode1	insuranceAmountRiskCode1	Страховая сумма по смерти (код риска)	insuranceAmountRiskCode1
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount1	insuranceAmount1	Страховая сумма по смерти	insuranceAmount1
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode2	insuranceAmountRiskCode2	Страховая сумма по инвалидности (код риска)	insuranceAmountRiskCode2
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount2	insuranceAmount2	Страховая сумма по инвалидности	insuranceAmount2
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode3	insuranceAmountRiskCode3	Страховая сумма по травме (код риска)	insuranceAmountRiskCode3
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount3	insuranceAmount3	Страховая сумма по травме	insuranceAmount3
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode4	insuranceAmountRiskCode4	Страховая сумма по критическим заболеваниям (код риска)	insuranceAmountRiskCode4
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount4	insuranceAmount4	Страховая сумма по критическим заболеваниям	insuranceAmount4
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode5	insuranceAmountRiskCode5	Страховая сумма по смерти (код риска)	insuranceAmountRiskCode5
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount5	insuranceAmount5	Страховая сумма по смерти	insuranceAmount5
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode6	insuranceAmountRiskCode6	Страховая сумма по инвалидности (код риска)	insuranceAmountRiskCode6
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount6	insuranceAmount6	Страховая сумма по инвалидности	insuranceAmount6
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmountRiskCode7	insuranceAmountRiskCode7	Страховая сумма по смерти на авиаперевозчике (код риска)	insuranceAmountRiskCode7
UiSchema	CollectiveLifeInsurancePolicyWithOutTarificationImportLoadFromExcelUiSchema	ui-label	insuranceAmount7	insuranceAmount7	Страховая сумма по смерти на авиаперевозчике	insuranceAmount7
