ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	InsuredListView	actors	Operations	Operations	ОПЕРУ	Operations
UiSchema	InsuredListViewUiSchema	ui-label	fullName	fullName	Ф.И.О.	fullName
UiSchema	InsuredListViewUiSchema	ui-label	birthDay	birthDay	Дата рождения	birthDay
UiSchema	InsuredListViewUiSchema	ui-label	gender	gender	Пол	gender
UiSchema	InsuredListViewUiSchema	ui-label	mobile	mobile	Мобильный телефон	mobile
UiSchema	InsuredListViewUiSchema	ui-label	premium	premium	Страховой взнос	premium
UiSchema	InsuredListViewUiSchema	ui-label	amount	amount	Страховая сумма	amount
ViewConfiguration	InsuredListView	rootConfiguration	InsuredListView@Title	InsuredListView	Список застрахованных	InsuredListView
ViewConfiguration	InsuredListView	dataExport	CollectiveLifeInsurancePolicyExportExcel@ExportExcel	CollectiveLifeInsurancePolicyExportExcel@ExportExcel	Выгрузить список застрахованных	ExportExcel
UiSchema	InsuredListViewUiSchema	ui-label	Export data	Export data	Выгрузить список застрахованных	Export data
UiSchema	InsuredListViewUiSchema	ui-label	risk	risk	Краткое наименование	risk
UiSchema	InsuredListViewUiSchema	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	InsuredListViewUiSchema	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	InsuredListViewUiSchema	ui-label	partyCode	partyCode	Код	partyCode
ViewConfiguration	InsuredListView	actors	Underwriter	Underwriter	Андерайтер	Underwriter
UiSchema	InsuredListViewUiSchema	ui-label	Reinsurance rate	Reinsurance rate	Перестраховочный тариф	Reinsurance rate
UiSchema	InsuredListViewUiSchema	ui-label	Reinsurance premium	Reinsurance premium	Перестраховочная премия	Reinsurance premium
UiSchema	InsuredListViewUiSchema	ui-label	reinsurerCode	reinsurerCode	Код перестраховщика	reinsurerCode
UiSchema	InsuredListViewUiSchema	ui-label	reinsurerName	reinsurerName	Перестраховщик	reinsurerName
UiSchema	InsuredListViewUiSchema	ui-label	reinsurerShare	reinsurerShare	Доля перестраховщика	reinsurerShare
