ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
ServiceExecutor	Execute Service	ActivateContractsWithPaidFirstInstallmentEtlService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	CompleteContractsWithPaidFirstInstallmentEtlService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	FullRevaluationETLService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	FullRevaluationOfInvoicedCommissionETLService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	PreparePaymentPlanBasedInvoiceETLService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	RepostAaCommissionChangesETLService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	RepostAaCommissionChangesItemETLService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	FixPolicyService	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	PostPremiumIncreaseTransactions	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	PostRevaluationTransactions	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	PostRevaluationInvoicedCommissionTransactions	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	RecalculateInvoicedCommission	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	InvalidateInvoicedCommission	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ReCallActivePolicyRoutesETLService	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ReCallQuoteRoutesETLService	EtlServiceConfiguration	*	Add
General	Execute Service	GetInvoicingCandidatesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetLastInvoicedCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetMissingAssPoliciesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetMissingAssQuotesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPaidContractsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPaymentPlanDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPaymentPlanShortDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPeriodFirstOpenDateDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPolicyCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPolicyForFullRevaluationDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPolicyForFullRevaluationOfInvoicedCommissionDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPolicyInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPremiumTransactionPostingDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRepostAaCommissionChangesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRepostAaCommissionPoliciesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetRevaluationDataDataSource	DataSourceConfiguration	*	Add
