ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Allow Actor	ContractSearch	ViewConfiguration	General	Add
ServiceExecutor	Execute Service	SendContractInfoEmail	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	SendContractVerificationSms	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	VerifySmsSecurityCode	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	SendOfferInfoEmail	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	GetEFRProducts	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	GetEFRProductsFiltred	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	GetEFRProductsReverse	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	GetEFRProductsReverseOptional	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	GetInsuranceRules	IntegrationServiceConfiguration	*	Add
General	Execute Service	SendContractInfoEmail	IntegrationServiceConfiguration	*	Add
General	Execute Service	SendContractVerificationSms	IntegrationServiceConfiguration	*	Add
General	Execute Service	VerifySmsSecurityCode	IntegrationServiceConfiguration	*	Add
General	Execute Service	SendOfferInfoEmail	IntegrationServiceConfiguration	*	Add
General	Execute Service	GetEFRProducts	IntegrationServiceConfiguration	*	Add
General	Execute Service	GetEFRProductsFiltred	IntegrationServiceConfiguration	*	Add
General	Execute Service	GetEFRProductsReverse	IntegrationServiceConfiguration	*	Add
General	Execute Service	GetEFRProductsReverseOptional	IntegrationServiceConfiguration	*	Add
General	Execute Service	GetInsuranceRules	IntegrationServiceConfiguration	*	Add
General	Allow Actor	ContractSearchInline	ViewConfiguration	General	Add
ServiceExecutor	Execute Service	CreatePolicyNumber	IntegrationServiceConfiguration	*	Add
General	Execute Service	CreatePolicyNumber	IntegrationServiceConfiguration	*	Add
Coach	Allow Actor	ContractSearch	ViewConfiguration	General	Add
General	Execute Service	ContractChildDocumentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ContractSearchExcludeProductDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GeneralContractSearchDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetContractFullDataDataSource	DataSourceConfiguration	*	Add
General	Execute Service	InvestReportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	NoteReportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ReportContractDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetInquiryContractDataDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportInvestReport	DataExportConfiguration	*	Add
General	Execute Service	ExportEconomicParametersReport	DataExportConfiguration	*	Add
General	Execute Service	ExportNoteReport	DataExportConfiguration	*	Add
General	Execute Service	ReportContractExportExcel	DataExportConfiguration	*	Add
RemnantsOfCszContractsForReinvestment	Allow Actor	CreditContractReportsView	ViewConfiguration	RemnantsOfCszContractsForReinvestment	Add
RemnantsOfCszContractsForReinvestment	Allow Actor	CreditContractSearch	ViewConfiguration	RemnantsOfCszContractsForReinvestment	Add
RemnantsOfCszContractsForReinvestment	Execute Service	CreditContractSearchDataSource	DataSourceConfiguration	*	Add
General	Allow Actor	AutoconversionContractSearch	ViewConfiguration	General	Add
General	Execute Service	AutoconversionContractDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PreEquityReportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportPreEquityReport	DataExportConfiguration	*	Add
General	Execute Service	PreEquityRegistryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportPreEquityRegistry	DataExportConfiguration	*	Add
System	Allow Actor	ContractEntity	MasterEntityConfiguration	System	Add
ContractEntityEditor	Allow Actor	ContractEntity	MasterEntityConfiguration	ContractEntityEditor	Add
ContractEntityViewer	Allow Actor	ContractEntity	MasterEntityConfiguration	ContractEntityViewer	Add
EconomicParametersEditor	Allow Actor	ContractEntity	MasterEntityConfiguration	EconomicParametersEditor	Add
EconomicParametersViewer	Allow Actor	ContractEntity	MasterEntityConfiguration	EconomicParametersViewer	Add
ContractReports	Allow Actor	ContractReportsView	ViewConfiguration	GeneralBackOffice	Add
PolicyCreatorByService	Allow Actor	CreateContractView	ViewConfiguration	General	Add
General	Execute Service	CreateIndividualPolicy	IntegrationServiceConfiguration	*	Add
General	Execute Service	PreEquityDebitingRegistryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportPreEquityDebitingRegistry	DataExportConfiguration	*	Add
General	Execute Service	GetContractInvestmentDataDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PaymentIntermediateApplicationReportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportPaymentIntermediateApplicationReport	DataExportConfiguration	*	Add
General	Execute Service	HasAmendmentReportDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExportHasAmendmentReport	DataExportConfiguration	*	Add
