ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	number	number	number	Номер
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	stateCode	stateCode	stateCode	Статус (код)
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	stateCodeDescription	stateCodeDescription	stateCodeDescription	Статус
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	issueDate	issueDate	issueDate	Дата заключения
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	startDate	startDate	startDate	Дата начала
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	endDate	endDate	endDate	Дата окончания
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	policyHolderName	policyHolderName	policyHolderName	Наименование страхователя
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	productCode	productCode	productCode	Продукт (код)
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	productDescription	productDescription	productDescription	Продукт
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	productGroup	productGroup	productGroup	Группа продуктов (код)
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	productGroupDescription	productGroupDescription	productGroupDescription	Группа продуктов
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	contractType	contractType	contractType	Тип документа (код)
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	contractTypeDescription	contractTypeDescription	contractTypeDescription	Тип документа
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	paymentFrequency	paymentFrequency	paymentFrequency	Периодичность оплаты
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	currencyCode	currencyCode	currencyCode	Код валюты
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	amount	amount	amount	Размер взноса
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	amountWithAllRisks	amountWithAllRisks	amountWithAllRisks	Взнос с учетом доп. рисков
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	initiatorName	initiatorName	initiatorName	Инициатор
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	initiatorOrganisationUnitName	initiatorOrganisationUnitName	initiatorOrganisationUnitName	Подразделение
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	isReinvest	isReinvest	isReinvest	Реинвестирование
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	issueFormCode	issueFormCode	issueFormCode	Форма выпуска
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	productStrategyCode	productStrategyCode	productStrategyCode	Код стратегии
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	productStrategyDescription	productStrategyDescription	productStrategyDescription	Наименование стратегии
DataSchema	CreditContractSearchDataSourceResultSchema	field-title	insuranceTerms	insuranceTerms	insuranceTerms	Срок действия договора в годах
