ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	GeneralContractSearchDataSourceInputSchema	enum	contractType@Quote	Quote	Заявка	Quote
DataSchema	GeneralContractSearchDataSourceInputSchema	enum	contractType@Policy	Policy	Договор	Policy
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	number	number	Номер	number
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	stateCode	stateCode	Статус (код)	stateCode
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	stateCodeDescription	stateCodeDescription	Статус	stateCodeDescription
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	issueDate	issueDate	Дата заключения	issueDate
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	startDate	startDate	Дата начала	startDate
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	endDate	endDate	Дата окончания	endDate
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	policyHolderName	policyHolderName	Наименование страхователя	policyHolderName
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	productCode	productCode	Продукт (код)	productCode
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	contractType	contractType	Тип документа (код)	contractType
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	productDescription	productDescription	Продукт	productDescription
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	productGroup	productGroup	Группа продуктов (код)	productGroup
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	productGroupDescription	productGroupDescription	Группа продуктов	productGroupDescription
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	paymentFrequency	paymentFrequency	Периодичность оплаты	paymentFrequency
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	amount	amount	Размер взноса	amount
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	amountWithAllRisks	amountWithAllRisks	Взнос с учетом доп. рисков	amountWithAllRisks
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	initiatorName	initiatorName	Инициатор	initiatorName
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	initiatorOrganisationUnitName	initiatorOrganisationUnitName	Подразделение	initiatorOrganisationUnitName
DataSchema	GeneralContractSearchDataSourceInputSchema	enum	issueFormCode@paper	paper	Бумага	paper
DataSchema	GeneralContractSearchDataSourceInputSchema	enum	issueFormCode@offer	offer	Оферта	offer
DataSchema	GeneralContractSearchDataSourceInputSchema	enum	issueFormCode@ePolicy	ePolicy	Эл. полис	ePolicy
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	isReinvest	isReinvest	Реинвестирование	isReinvest
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	issueFormCode	issueFormCode	Форма выпуска	issueFormCode
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	productStrategyDescription	productStrategyDescription	Наименование стратегии	productStrategyDescription
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	insuranceTerms	insuranceTerms	Срок действия договора в годах	insuranceTerms
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	currencyCode	currencyCode	Код валюты	currencyCode
DataSchema	GeneralContractSearchDataSourceResultSchema	field-title	productStrategyCode	productStrategyCode	Код стратегии	productStrategyCode
