ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
MasterEntityConfiguration	ContractEntity	rootConfiguration	ContractEntity@Title	ContractEntity	ContractEntity	Дополнительные параметры договора
MasterEntityConfiguration	ContractEntity	operations	operations@Save@Title	Save	Save	Сохранить
MasterEntityConfiguration	ContractEntity	actors	EconomicParametersEditor	EconomicParametersEditor	EconomicParametersEditor	Параметры экономики (редактирование)
MasterEntityConfiguration	ContractEntity	actors	EconomicParametersViewer	EconomicParametersViewer	EconomicParametersViewer	Параметры экономики (просмотр)
DataSchema	ContractEntity	field-title	lastUpdateDate	lastUpdateDate	lastUpdateDate	Дата последнего обновления
UiSchema	ContractEntityMainContent	ui-label	lastUpdateDate	lastUpdateDate	lastUpdateDate	Дата последнего обновления
DataSchema	ContractEntity	field-title	entity	entity	entity	entity
DataSchema	ContractEntity	field-title	number	number	number	number
DataSchema	ContractEntity	field-title	originalConfigurationCodeName	originalConfigurationCodeName	originalConfigurationCodeName	Код конфигурации
DataSchema	ContractEntity	field-title	originalConfigurationVersion	originalConfigurationVersion	originalConfigurationVersion	Версия
UiSchema	ContractEntityMainContent	ui-label	Quote number	Quote number	Quote number	Заявка на страхование
UiSchema	ContractEntityMainContent	ui-label	Policy number	Policy number	Policy number	Договор
UiSchema	ContractEntityMainContent	ui-label	Policy economics	Policy economics	Policy economics	Экономика договора
MasterEntityConfiguration	ContractEntity	actors	System	System	System	Система
MasterEntityConfiguration	ContractEntity	actors	ContractEntityEditor	ContractEntityEditor	ContractEntityEditor	Дополнительные параметры договора (редактирование)
MasterEntityConfiguration	ContractEntity	actors	ContractEntityViewer	ContractEntityViewer	ContractEntityViewer	Дополнительные параметры договора (просмотр)
UiSchema	ContractEntityMainContent	ui-label	Product configuration number	Product configuration number	Product configuration number	Конфигурация продукта
UiSchema	ContractEntityMainContent	ui-label	Received documents	Received documents	Received documents	Информация о полученных документах
DataSchema	ContractEntity	field-title	policyIssueDate	policyIssueDate	policyIssueDate	Дата подписания договора
