ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AutoconversionContractSearch	actors	General	General	General	General
UiSchema	AutoconversionContractSearchResultsContent	ui-label	executedOn	executedOn	executedOn	Автоконверсия выполнена в
UiSchema	AutoconversionContractSearchResultsContent	ui-label	errorMessageDescription	errorMessageDescription	errorMessageDescriptio	Описание ошибки
UiSchema	AutoconversionContractSearchResultsContent	ui-label	errorMessage	errorMessage	errorMessage	Ошибка
UiSchema	AutoconversionContractSearchResultsContent	ui-label	contractNumber	contractNumber	contractNumber	Номер договора
ViewConfiguration	AutoconversionContractSearch	rootConfiguration	AutoconversionContractSearch@Title	AutoconversionContractSearch	AutoconversioReport	Поиск
UiSchema	AutoconversionContractSearchResultsContent	ui-label	errorCode	errorCode	errorCode	Код ошибки
UiSchema	AutoconversionContractSearchFiltersContent	ui-label	contractNumber	contractNumber	contractNumber	Номер договора
UiSchema	AutoconversionContractSearchFiltersContent	ui-label	executedOnFrom	executedOnFrom	executedOnFrom	Автоконверсия выполнена от
UiSchema	AutoconversionContractSearchFiltersContent	ui-label	executedOnTo	executedOnTo	executedOnTo	Автоконверсия выполнена до
ViewConfiguration	AutoconversionContractSearch	dataExport	AutoconversionContractsExport	AutoconversionContractsExport	Экспорт результата	AutoconversionContractsExport
UiSchema	AutoconversionContractSearchResultsContent	ui-label	Export	Export	Export	Экспорт
