ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ContractReportsView	actors	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice
UiSchema	ContractReportsViewUiSchema	ui-label	InvestReport	InvestReport	Отчет ИСЖ	InvestReport
UiSchema	ContractReportsViewUiSchema	ui-label	ExportInvestReport	ExportInvestReport	Экспорт	ExportInvestReport
ViewConfiguration	ContractReportsView	rootConfiguration	ContractReportsView@Title	ContractReportsView	Отчеты по договорам	ContractReportsView
UiSchema	ContractReportsViewUiSchema	ui-label	NoteReport	NoteReport	Отчет Нота	NoteReport
UiSchema	ContractReportsViewUiSchema	ui-label	ExportNoteReport	ExportNoteReport	Экспорт	ExportNoteReport
UiSchema	ContractReportsViewUiSchema	ui-label	insuranceProduct	insuranceProduct	Продукт	insuranceProduct
UiSchema	ContractReportsViewUiSchema	ui-label	strategyCode	strategyCode	Стратегия инвестирования	strategyCode
UiSchema	ContractReportsViewUiSchema	ui-label	purchaseDate	purchaseDate	Дата транша	purchaseDate
UiSchema	ContractReportsViewUiSchema	ui-label	AutoconversioReport	AutoconversioReport	Отчет автоконверсии	AutoconversioReport
UiSchema	ContractReportsViewUiSchema	ui-label	PreEquityReport	PreEquityReport	Отчет ПредДСЖ	PreEquityReport
UiSchema	ContractReportsViewUiSchema	ui-label	ExportPreEquityReport	ExportPreEquityReport	Экспорт	ExportPreEquityReport
UiSchema	ContractReportsViewUiSchema	ui-label	PreEquityRegistry	PreEquityRegistry	Реестр на зачисление ПредДСЖ	PreEquityRegistry
UiSchema	ContractReportsViewUiSchema	ui-label	ExportPreEquityRegistry	ExportPreEquityRegistry	Экспорт	ExportPreEquityRegistry
UiSchema	ContractReportsViewUiSchema	ui-label	preEquityReportDate	preEquityReportDate	Дата	Date
UiSchema	ContractReportsViewUiSchema	ui-label	preEquityRegistryDate	preEquityRegistryDate	Дата	Date
UiSchema	ContractReportsViewUiSchema	ui-label	PreEquityDebitingRegistry	PreEquityDebitingRegistry	Реестр на списание ПРЕДДСЖ	PreEquityDebitingRegistry
UiSchema	ContractReportsViewUiSchema	ui-label	preEquityDebitingRegistryDate	preEquityDebitingRegistryDate	Дата	Date
UiSchema	ContractReportsViewUiSchema	ui-label	ExportPreEquityDebitingRegistry	ExportPreEquityDebitingRegistry	Экспорт	ExportPreEquityDebitingRegistry
UiSchema	ContractReportsViewUiSchema	ui-label	EconomicParametersReport	EconomicParametersReport	Отчет Параметры экономики	EconomicParametersReport
UiSchema	ContractReportsViewUiSchema	ui-label	ExportEconomicParametersReport	ExportEconomicParametersReport	Экспорт	ExportEconomicParametersReport
UiSchema	ContractReportsViewUiSchema	ui-label	issueDateFrom	issueDateFrom	Дата заключения от	IssueDateFrom
UiSchema	ContractReportsViewUiSchema	ui-label	issueDateTo	issueDateTo	Дата заключения до	IssueDateTo
UiSchema	ContractReportsViewUiSchema	ui-label	productGroupDescription	productGroupDescription	Группа продуктов	ProductGroup
ClientAction	ContractReportsViewExportEconomicParametersReport	ui-message	DateRangeLimitation	exportEconomicParametersReport	Нельзя выгрузить отчет за период более 90 дней по дате заключения	DateRangeLimitation
UiSchema	ContractReportsViewUiSchema	ui-label	PaymentIntermediateApplicationReport	PaymentIntermediateApplicationReport	Отчёт по заявлениям на промежуточную выплату	PaymentIntermediateApplicationReport
UiSchema	ContractReportsViewUiSchema	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	ContractReportsViewUiSchema	ui-label	ExportPaymentIntermediateApplicationReport	ExportPaymentIntermediateApplicationReport	Экспорт	ExportPaymentIntermediateApplicationReport
UiSchema	ContractReportsViewUiSchema	ui-label	HasAmendmentReport	HasAmendmentReport	Отчёт по полученным ДС по дивидендам	HasAmendmentReport
UiSchema	ContractReportsViewUiSchema	ui-label	ExportHasAmendmentReport	ExportHasAmendmentReport	Экспорт	ExportHasAmendmentReport
DataSchema	ContractReportsView	field-title	partnerCode	partnerCode	Код партнёра	partnerCode
DataSchema	ContractReportsView	field-title	partnerDescription	partnerDescription	Партнёр	partnerDescription
UiSchema	ContractReportsViewUiSchema	ui-label	partner	partner	Партнёр	partner
DataSchema	ContractReportsView	field-title	partner	partner	Партнёр	partner
