ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ContractSearch	actors	General	General	General	General
ViewConfiguration	ContractSearch	rootConfiguration	ContractSearch@Title	ContractSearch	Журнал договоров	ContractSearch
UiSchema	ContractSearchFiltersContent	ui-label	number	number	Номер	number
UiSchema	ContractSearchFiltersContent	ui-label	issueDateFrom	issueDateFrom	Дата заключения от	issueDateFrom
UiSchema	ContractSearchFiltersContent	ui-label	issueDateTo	issueDateTo	Дата заключения до	issueDateTo
UiSchema	ContractSearchFiltersContent	ui-label	startDateFrom	startDateFrom	Дата начала от	startDateFrom
UiSchema	ContractSearchFiltersContent	ui-label	startDateTo	startDateTo	Дата начала до	startDateTo
UiSchema	ContractSearchFiltersContent	ui-label	endDateFrom	endDateFrom	Дата окончания от	endDateFrom
UiSchema	ContractSearchFiltersContent	ui-label	endDateTo	endDateTo	Дата окончания до	endDateTo
UiSchema	ContractSearchFiltersContent	ui-label	policyHolder	policyHolder	Страхователь	policyHolder
UiSchema	ContractSearchResultsContent	ui-label	stateCodeDescription	stateCodeDescription	Статус	stateCodeDescription
UiSchema	ContractSearchResultsContent	ui-label	issueDate	issueDate	Дата заключения	issueDate
UiSchema	ContractSearchResultsContent	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	ContractSearchResultsContent	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	ContractSearchResultsContent	ui-label	policyHolderName	policyHolderName	Наименование страхователя	policyHolderName
UiSchema	ContractSearchResultsContent	ui-label	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
UiSchema	ContractSearchFiltersContent	ui-label	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
UiSchema	ContractSearchFiltersContent	ui-label	productGroupDescription	productGroupDescription	Группа продуктов	productGroupDescription
UiSchema	ContractSearchFiltersContent	ui-label	productName	productName	Продукт	productName
UiSchema	ContractSearchResultsContent	ui-label	productName	productName	Продукт	productName
UiSchema	ContractSearchFiltersContent	ui-label	initiator	initiator	Инициатор	initiator
UiSchema	ContractSearchFiltersContent	ui-label	organisationUnit	organisationUnit	Подразделение	organisationUnit
UiSchema	ContractSearchFiltersContent	ui-label	includeChildren	includeChildren	С учетом дочерних	includeChildren
UiSchema	ContractSearchResultsContent	ui-label	entityId	entityId	Номер	entityId
ViewConfiguration	ContractSearch	dataExport	PoliciesExport	PoliciesExport	Экспорт договоров	PoliciesExport
UiSchema	ContractSearchResultsContent	ui-label	Export	Export	Экспорт	Export
UiSchema	ContractSearchFiltersContent	ui-label	State code	State code	Статус	State code
UiSchema	ContractSearchResultsContent	ui-label	paymentFrequency	paymentFrequency	Периодичность оплаты	paymentFrequency
UiSchema	ContractSearchResultsContent	ui-label	amount	amount	Размер взноса	amount
UiSchema	ContractSearchResultsContent	ui-label	amountWithAllRisks	amountWithAllRisks	Взнос с учетом доп. рисков	amountWithAllRisks
UiSchema	ContractSearchResultsContent	ui-label	initiatorName	initiatorName	Инициатор	initiatorName
UiSchema	ContractSearchResultsContent	ui-label	initiatorOrganisationUnitName	initiatorOrganisationUnitName	Подразделение	initiatorOrganisationUnitName
UiSchema	ContractSearchResultsContent	ui-label	Export Report	Export Report	Выгрузить отчет	Export Report
UiSchema	ContractSearchFiltersContent	ui-label	insuredPerson	insuredPerson	Застрахованное Лицо	insuredPerson
UiSchema	ContractSearchResultsContent	ui-label	insuredPersonName	insuredPersonName	Наименование Застрахованного Лица	insuredPersonName
UiSchema	ContractSearchFiltersContent	ui-label	isReinvest	isReinvest	Реинвестирование	isReinvest
UiSchema	ContractSearchFiltersContent	ui-label	issueFormCode	issueFormCode	Форма выпуска	issueFormCode
UiSchema	ContractSearchFiltersContent	ui-label	isPersonalManager	isPersonalManager	Персональный менеджер	isPersonalManager
UiSchema	ContractSearchFiltersContent	ui-label	aaExternalNumber	aaExternalNumber	Внешний номер Агентского Договора	aaExternalNumber
UiSchema	ContractSearchResultsContent	ui-label	Export Report Credit	Export Report Credit	Выгрузить отчет (КСЖ)	Export Report Credit
ClientAction	ContractSearchExportReport	ui-message	DateRangeLimitation	exportReport	Нельзя выгрузить отчет за период более 90 дней по дате заключения.	DateRangeLimitation
ClientAction	ContractSearchExportReport	ui-message	DateRangeUndefined	exportReport	Просьба выбрать период по дате заключения.	DateRangeUndefined
UiSchema	ContractSearchFiltersContent	ui-label	isCollectivePolicyOnly	isCollectivePolicyOnly	Только коллективные договоры	isCollectivePolicyOnly
UiSchema	ContractSearchFiltersContent	ui-label	futureContractNumber	futureContractNumber	Будущий номер договора	futureContractNumber
