ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	CreateContractView	actors	General	General	General	Общий
UiSchema	CreateContractViewUiSchema	ui-label	Request	Request	Request	Запрос
UiSchema	CreateContractViewUiSchema	ui-label	ErrorsList	ErrorsList	ErrorsList	Список ошибок
ViewConfiguration	CreateContractView	rootConfiguration	CreateContractView@Title	CreateContractView	CreateContractView	Создание договора
UiSchema	CreateContractViewUiSchema	ui-label	Create	Create	Create	Создать
UiSchema	CreateContractViewUiSchema	ui-label	Clear	Clear	Clear	Очистить
UiSchema	CreateContractViewUiSchema	ui-label	Message	Message	Message	Описание
ClientAction	CreateContractViewCreateContract	ui-message	JsonIsNotValid	createContract	Json is not valid	JSON не является допустимым
ClientAction	CreateContractViewCreateContract	ui-message	ProductCodeIsRequired	createContract	Product code is required	Необходимо указать код продукта
ClientAction	CreateContractViewCreateContract	ui-message	ProductCodeIsAbsent	createContract	Product is absent	Указанного продукта нет в системе
ClientAction	CreateContractViewCreateContract	ui-message	ProductGroupIsAbsent	createContract	Product group is absent	По указанному продукту не определена группа
ClientAction	CreateContractViewCreateContract	ui-message	ProcessHasValidationErrors	createContract	Process ended with errors, see list of errors	Процесс завершился с ошибками, см. список ошибок ниже
UiSchema	CreateContractViewUiSchema	ui-label	Code	Code	Code	Код ошибки
UiSchema	CreateContractViewUiSchema	ui-label	DataPath	DataPath	DataPath	Путь
ClientAction	CreateContractViewCreateContract	ui-message	UnknownError	createContract	Error has occurred, please contact your administrator	Произошла ошибка, обратитесь к администратору
ClientAction	CreateContractViewCreateContract	ui-message	ProcessCompletedSuccessfully	createContract	Process completed successfully	Процесс успешно завершён!
UiSchema	CreateContractViewUiSchema	ui-label	Link to contract	Link to contract	Link to contract	Ссылка на договор
ClientAction	CreateContractViewCreateContract	ui-message	TransitionWasBlocked	createContract	Transition Draft_to_Active for document {{policyNumber}} was blocked due to errors	Действие Проект -> Подписан на документе {{policyNumber}} не разрешено из-за ошибок: см. ошибки в созданном документе
ClientAction	CreateContractViewCreateContract	ui-message	PartyIsAbsent	createContract	Party is absent	Указанного контрагента нет в системе
ClientAction	CreateContractViewCreateContract	ui-message	PartnerIsAbsent	createContract	Partner is absent	Указанного партнера нет в системе
