ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	CreditContractSearch	dataExport	CreditContractExport	CreditContractExport	CreditContractExport	Экспорт
UiSchema	CreditContractSearchFiltersContent	ui-label	policyHolder	policyHolder	policyHolder	Страхователь
UiSchema	CreditContractSearchResultsContent	ui-label	entityId	entityId	entityId	Номер договора
UiSchema	CreditContractSearchResultsContent	ui-label	productName	productName	productName	Продукт
UiSchema	CreditContractSearchResultsContent	ui-label	issueDate	issueDate	issueDate	Дата заключения
UiSchema	CreditContractSearchResultsContent	ui-label	startDate	startDate	startDate	Дата начала
UiSchema	CreditContractSearchResultsContent	ui-label	endDate	endDate	endDate	дата окончания
UiSchema	CreditContractSearchResultsContent	ui-label	policyHolderName	policyHolderName	policyHolderName	Наименование страхователя
UiSchema	CreditContractSearchResultsContent	ui-label	amount	amount	amount	Размер взноса
UiSchema	CreditContractSearchResultsContent	ui-label	premiumForUnusedPeriod	premiumForUnusedPeriod	premiumForUnusedPeriod	Премия за неиспользованный период
ViewConfiguration	CreditContractSearch	rootConfiguration	CreditContractSearch@Title	CreditContractSearch	CreditContractSearch	Идентификация
ViewConfiguration	CreditContractSearch	actors	RemnantsOfCszContractsForReinvestment	RemnantsOfCszContractsForReinvestment	RemnantsOfCszContractsForReinvestment	Остатки договоров КСЖ для реинвестирования
