ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	System	Add
System	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	System	Add
ServiceExecutor	Execute Service	CommissionCalculation	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ImportCreditLifePolicyETL	EtlServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ImportCreditLifeCoolOffETL	EtlServiceConfiguration	*	Add
Administrator	Allow Actor	CreditLifeImportFailed	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeImportErrors	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeImportLoadSuccess	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeImportSuccess	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeImportLoadCoolOffSuccess	ViewConfiguration	General	Add
Administrator	Allow Actor	ImportCreditLifePolicy	DocumentConfiguration	Operations	Add
System	Allow Actor	ImportCreditLifePolicy	DocumentConfiguration	System	Add
Administrator	Allow Actor	ImportCreditLifeCoolOff	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccountingGroup	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Underwriter	Add
GeneralBackOffice	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
CreditLifeBFKOMass	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
General	Execute Service	CommissionCalculation	IntegrationServiceConfiguration	*	Add
OperationsGroup	Execute Service	CommissionCalculation	IntegrationServiceConfiguration	*	Add
OperationsGroup	Execute Service	ImportCreditLifePolicyETL	EtlServiceConfiguration	*	Add
OperationsGroup	Execute Service	ImportCreditLifeCoolOffETL	EtlServiceConfiguration	*	Add
General	Allow Actor	CreditLifeImportFailed	ViewConfiguration	General	Add
General	Allow Actor	CreditLifeImportErrors	ViewConfiguration	General	Add
General	Allow Actor	CreditLifeImportLoadSuccess	ViewConfiguration	General	Add
General	Allow Actor	CreditLifeImportSuccess	ViewConfiguration	General	Add
General	Allow Actor	CreditLifeImportLoadCoolOffSuccess	ViewConfiguration	General	Add
OperationsGroup	Allow Actor	ImportCreditLifePolicy	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	ImportCreditLifeCoolOff	DocumentConfiguration	Operations	Add
System	Allow Actor	ImportCreditLifeCoolOff	DocumentConfiguration	System	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
UKSPGroup	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
OperationsDirectorGroup	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
CreditLifeBFKOMass	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
CreditLifeBFKOMass	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
ClaimsGroup	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Claims	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Operations	Add
UKSPGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
UnderwritingGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
GeneralBackOffice	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
CreditLifeBFKOAuto	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Agent	Add
CreditLifeBFKOAuto	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Agent	Add
CreditLifeBFKOAuto	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
CreditLifeBFKOAuto	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
System	Allow Actor	CreditLifeInsuranceReactivation	DocumentConfiguration	System	Add
Administrator	Allow Actor	CreditLifeInsuranceFinChange	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceFinChange	DocumentConfiguration	Operations	Add
