ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	CreditContract	field-title	creditSum	creditSum	Сумма кредита	creditSum
DataSchema	CreditContract	field-title	creditRate	creditRate	Ставка по кредиту	creditRate
DataSchema	CreditContract	field-title	annuityPaymentSum	annuityPaymentSum	Размер аннуитетного платежа	annuityPaymentSum
DataSchema	CreditContract	field-title	creditContractId	creditContractId	ID кредитного договора	creditContractId
DataSchema	CreditContract	field-title	creditDate	creditDate	Дата выдачи кредита	creditDate
UiSchema	CreditContract	ui-label	CreditContract	CreditContract	Кредитный договор	CreditContract
UiSchema	CreditContract	ui-label	creditSum	creditSum	Сумма кредита	creditSum
UiSchema	CreditContract	ui-label	creditRate	creditRate	Ставка по кредиту	creditRate
UiSchema	CreditContract	ui-label	annuityPaymentSum	annuityPaymentSum	Размер аннуитетного платежа	annuityPaymentSum
UiSchema	CreditContract	ui-label	creditContractId	creditContractId	ID кредитного договора	creditContractId
UiSchema	CreditContract	ui-label	creditDate	creditDate	Дата выдачи кредита	creditDate
DataSchema	CreditContract	field-title	creditSumNet	creditSumNet	Сумма кредита на руки	creditSumNet
UiSchema	CreditContract	ui-label	creditSumNet	creditSumNet	Сумма кредита на руки	creditSumNet
DataSchema	CreditContract	field-title	creditRateRefuse	creditRateRefuse	Ставка по кредиту в случае отказа от страхования	creditRateRefuse
UiSchema	CreditContract	ui-label	creditRateRefuse	creditRateRefuse	Ставка по кредиту в случае отказа от страхования	creditRateRefuse
Rule	CreditContractValidateCreditContract	rule	validation@creditRateRefuseRequired	validateCreditContract	E: Необходимо заполнить Ставка по кредиту в случае отказа от страхования	E: validation@creditRateRefuseRequired
Rule	CreditContractValidateCreditContract	rule	validation@creditRateRefuseSmall	validateCreditContract	E: Ставка по кредиту в случае отказа от страхования должна быть больше, чем Ставка по кредиту	E: validation@creditRateRefuseSmall
DataSchema	CreditContract	field-title	creditContractNumber	creditContractNumber	Номер кредитного договора	creditContractNumber
UiSchema	CreditContract	ui-label	creditContractNumber	creditContractNumber	Номер кредитного договора	creditContractNumber
Rule	CreditContractValidateCreditContract	rule	validation@creditSumNetIsRequired	validateCreditContract	E: Необходимо заполнить Сумма кредита на руки	E: validation@creditSumNetIsRequired
Rule	CreditContractValidateCreditContract	rule	validation@creditRateIsRequired	validateCreditContract	E: Необходимо заполнить Ставка по кредиту	E: validation@creditRateIsRequired
Rule	CreditContractValidateCreditContract	rule	validation@annuityPaymentSumIsRequired	validateCreditContract	E: Необходимо заполнить Размер аннуитетного платежа	E: validation@annuityPaymentSumIsRequired
