ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	CreditProgram	field-title	creditProgramId	creditProgramId	ID страховой программы	creditProgramId
UiSchema	CreditProgram	ui-label	CreditProgram	CreditProgram	Программа КСЖ	CreditProgram
UiSchema	CreditProgram	ui-label	creditProgramId	creditProgramId	ID страховой программы	creditProgramId
Rule	CreditProgramValidateCreditProgram	rule	validation@creditProgramIsIncorrect	validateCreditProgram	E: ID страховой программы не применим для указанного страхового продукта и суммы кредита на руки	E: validation@creditProgramIsIncorrect
Rule	CreditProgramValidateCreditProgram	rule	validation@creditProgramIsIncorrectDMS	validateCreditProgram	E: ID страховой программы не применим для указанного размера взноса	E: validation@creditProgramIsIncorrectDMS
DataSchema	CreditProgram	field-title	externalContractId	externalContractId	ID договора страхования	externalContractId
UiSchema	CreditProgram	ui-label	externalContractId	externalContractId	ID договора страхования	externalContractId
Rule	CreditProgramValidateCreditProgram	rule	validation@creditProgramIsIncorrectAge	validateCreditProgram	E: ID страховой программы не применим из-за возрастных ограничений	E: validation@creditProgramIsIncorrectAge
DataSchema	CreditProgram	field-title	percentRateImpact	percentRateImpact	Влияет на процентную ставку	percentRateImpact
UiSchema	CreditProgram	ui-label	percentRateImpact	percentRateImpact	Влияет на процентную ставку	percentRateImpact
DataSchema	CreditProgram	field-title	creditProgramVersion	creditProgramVersion	Версия программы	creditProgramVersion
UiSchema	CreditProgram	ui-label	creditProgramVersion	creditProgramVersion	Версия программы	creditProgramVersion
Rule	CreditProgramValidateCreditProgram	rule	validation@creditProgramIdIsRequired	validateCreditProgram	E: Необходимо заполнить ID страховой программы.	E: validation@creditProgramIdIsRequired
