ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00012021	п00012021	п00012021	п00012021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00012022	п00012022	п00012022	п00012022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00022021	п00022021	п00022021	п00022021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00022022	п00022022	п00022022	п00022022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00032021	п00032021	п00032021	п00032021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00032022	п00032022	п00032022	п00032022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00042021	п00042021	п00042021	п00042021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00042022	п00042022	п00042022	п00042022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00052021	п00052021	п00052021	п00052021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00052022	п00052022	п00052022	п00052022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00062021	п00062021	п00062021	п00062021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00062022	п00062022	п00062022	п00062022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00072021	п00072021	п00072021	п00072021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00072022	п00072022	п00072022	п00072022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00082021	п00082021	п00082021	п00082021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00082022	п00082022	п00082022	п00082022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00092021	п00092021	п00092021	п00092021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00092022	п00092022	п00092022	п00092022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00102021	п00102021	п00102021	п00102021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00102022	п00102022	п00102022	п00102022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00112021	п00112021	п00112021	п00112021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00112022	п00112022	п00112022	п00112022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00122021	п00122021	п00122021	п00122021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00122022	п00122022	п00122022	п00122022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00132021	п00132021	п00132021	п00132021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00132022	п00132022	п00132022	п00132022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00142021	п00142021	п00142021	п00142021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00142022	п00142022	п00142022	п00142022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00152021	п00152021	п00152021	п00152021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00152022	п00152022	п00152022	п00152022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00162021	п00162021	п00162021	п00162021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00162022	п00162022	п00162022	п00162022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00172021	п00172021	п00172021	п00172021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00172022	п00172022	п00172022	п00172022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00182021	п00182021	п00182021	п00182021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00182022	п00182022	п00182022	п00182022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00192021	п00192021	п00192021	п00192021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00192022	п00192022	п00192022	п00192022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00202021	п00202021	п00202021	п00202021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00202022	п00202022	п00202022	п00202022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00212021	п00212021	п00212021	п00212021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00212022	п00212022	п00212022	п00212022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00222021	п00222021	п00222021	п00222021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00222022	п00222022	п00222022	п00222022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00232021	п00232021	п00232021	п00232021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00232022	п00232022	п00232022	п00232022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00242021	п00242021	п00242021	п00242021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00242022	п00242022	п00242022	п00242022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00252021	п00252021	п00252021	п00252021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00252022	п00252022	п00252022	п00252022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00262021	п00262021	п00262021	п00262021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00262022	п00262022	п00262022	п00262022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00272021	п00272021	п00272021	п00272021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00272022	п00272022	п00272022	п00272022
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00282021	п00282021	п00282021	п00282021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00292021	п00292021	п00292021	п00292021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00302021	п00302021	п00302021	п00302021
DataSchema	EnumCreditPrograms	enum	enumCreditPrograms@п00312021	п00312021	п00312021	п00312021
