ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	CreditLifeInsuranceCancellation	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	CreditLifeInsuranceCancellation	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	CreditLifeInsuranceCancellation	actors	OperationsDirector	OperationsDirector	ОПЕРУ-руководитель	OperationsDirector
DocumentConfiguration	CreditLifeInsuranceCancellation	actors	Viewer	Viewer	Просмотр	Viewer
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@Cancelled	Cancelled	Отменено	Cancelled
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении ОПЕРУ	OperationsApproval
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@RequestToClient	RequestToClient	Ожидание ответов на запросы	RequestToClient
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@OperationsDirectorApproval	OperationsDirectorApproval	На рассмотрении у руководителя ОПЕРУ	OperationsDirectorApproval
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@SentToPayment	SentToPayment	Передано на выплату	SentToPayment
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	states	states@Paid	Paid	Оплачен	Paid
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	CreditLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_RequestToClient@Title	OperationsApproval_to_RequestToClient	Ожидание ответов на запросы	OperationsApproval_to_RequestToClient
